#{"t_start": 1738536966.1238198, "env_id": "CartPole-v1"}
r,l,t
17.0,17,1.133233
11.0,11,1.148757
18.0,18,1.379532
39.0,39,1.497267
18.0,18,1.57409
30.0,30,1.665701
14.0,14,1.680821
11.0,11,1.69258
20.0,20,1.772413
16.0,16,1.854482
34.0,34,1.954107
32.0,32,2.055608
57.0,57,2.172868
53.0,53,2.349307
144.0,144,2.818166
95.0,95,3.113436
198.0,198,3.690575
158.0,158,4.178658
326.0,326,5.562028
196.0,196,6.190593
401.0,401,7.345438
500.0,500,9.019778
500.0,500,11.96935
500.0,500,13.521411
500.0,500,16.457422
500.0,500,18.090266
500.0,500,19.835285
500.0,500,22.732996
500.0,500,24.354042
500.0,500,27.178672
500.0,500,28.683445
500.0,500,30.196435
500.0,500,32.900694
500.0,500,34.528978
500.0,500,37.240856
500.0,500,38.789843
500.0,500,40.316177
500.0,500,43.019278
500.0,500,44.559313
500.0,500,47.276455
500.0,500,48.798815
500.0,500,50.418053
