#{"t_start": 1738536966.1249545, "env_id": "CartPole-v1"}
r,l,t
29.0,29,1.149079
35.0,35,1.402102
69.0,69,1.664622
22.0,22,1.688177
9.0,9,1.7564
21.0,21,1.778718
25.0,25,1.868587
31.0,31,1.967053
16.0,16,2.051009
22.0,22,2.074585
34.0,34,2.168059
39.0,39,2.267917
92.0,92,2.54263
84.0,84,2.832142
78.0,78,3.043749
30.0,30,3.142314
138.0,138,3.590085
181.0,181,4.099239
201.0,201,4.757012
136.0,136,5.562131
162.0,162,6.09388
181.0,181,6.66116
477.0,477,7.997963
500.0,500,11.054624
500.0,500,12.686288
500.0,500,14.244481
500.0,500,17.147232
500.0,500,18.904017
500.0,500,21.886838
500.0,500,23.46767
500.0,500,25.087946
500.0,500,27.822276
500.0,500,29.372492
500.0,500,32.035256
500.0,500,33.635256
500.0,500,35.226138
500.0,500,37.878919
500.0,500,39.495991
500.0,500,42.171048
500.0,500,43.678099
500.0,500,45.264088
500.0,500,47.930455
500.0,500,49.500393
