#{"t_start": 1738536966.1225421, "env_id": "CartPole-v1"}
r,l,t
15.0,15,1.131718
35.0,35,1.386123
31.0,31,1.494437
18.0,18,1.570863
15.0,15,1.587176
18.0,18,1.665883
23.0,23,1.690476
24.0,24,1.774796
139.0,139,2.175158
53.0,53,2.351697
121.0,121,2.725255
78.0,78,2.94228
53.0,53,3.130161
147.0,147,3.588559
209.0,209,4.19462
196.0,196,4.780357
191.0,191,5.801618
140.0,140,6.290752
358.0,358,7.320554
500.0,500,8.914428
500.0,500,11.876667
500.0,500,13.498327
500.0,500,16.371448
500.0,500,17.982477
500.0,500,19.734636
500.0,500,22.649441
500.0,500,24.331313
500.0,500,27.094066
500.0,500,28.591057
500.0,500,30.173538
500.0,500,32.800815
500.0,500,34.420328
500.0,500,37.157825
500.0,500,38.668482
500.0,500,40.291942
500.0,500,42.927709
500.0,500,44.457305
500.0,500,47.258128
500.0,500,48.715566
500.0,500,50.330842
