#{"t_start": 1738536966.1245837, "env_id": "CartPole-v1"}
r,l,t
41.0,41,1.372127
36.0,36,1.48818
16.0,16,1.504613
47.0,47,1.672477
17.0,17,1.690719
43.0,43,1.859641
159.0,159,2.336531
91.0,91,2.613019
66.0,66,2.819625
110.0,110,3.131438
200.0,200,3.710677
129.0,129,4.09955
187.0,187,4.679827
174.0,174,5.664778
217.0,217,6.318761
203.0,203,6.946215
500.0,500,8.476172
500.0,500,11.444926
500.0,500,13.097038
500.0,500,14.69205
500.0,500,17.537067
500.0,500,19.269276
500.0,500,22.289669
500.0,500,23.933191
500.0,500,25.47297
500.0,500,28.194662
500.0,500,29.786892
500.0,500,32.425037
500.0,500,34.025391
500.0,500,35.54
500.0,500,38.252218
500.0,500,39.901937
500.0,500,42.53112
500.0,500,44.061562
500.0,500,45.640657
500.0,500,48.326162
500.0,500,49.914546
