#{"t_start": 1738536966.1234322, "env_id": "CartPole-v1"}
r,l,t
31.0,31,1.15347
16.0,16,1.381255
21.0,21,1.477645
19.0,19,1.499518
24.0,24,1.583004
13.0,13,1.596665
43.0,43,1.761225
31.0,31,1.858768
61.0,61,2.054885
43.0,43,2.159821
26.0,26,2.244904
25.0,25,2.330673
41.0,41,2.437859
18.0,18,2.45383
107.0,107,2.824708
103.0,103,3.128002
197.0,197,3.703877
130.0,130,4.095447
463.0,463,5.977074
166.0,166,6.486322
441.0,441,7.780762
500.0,500,10.742253
500.0,500,12.353203
500.0,500,13.934323
500.0,500,16.8649
500.0,500,18.556262
500.0,500,21.563594
500.0,500,23.161511
500.0,500,24.856381
500.0,500,27.545094
500.0,500,29.086683
500.0,500,31.766509
500.0,500,33.327016
500.0,500,34.940732
500.0,500,37.608979
500.0,500,39.192466
500.0,500,41.949196
500.0,500,43.398657
500.0,500,44.970899
500.0,500,47.652277
500.0,500,49.178519
