#{"t_start": 1738536966.1241882, "env_id": "CartPole-v1"}
r,l,t
19.0,19,1.135758
12.0,12,1.15277
20.0,20,1.385829
90.0,90,1.674045
16.0,16,1.691062
30.0,30,1.781694
40.0,40,1.952549
65.0,65,2.150401
27.0,27,2.174503
29.0,29,2.264208
178.0,178,2.830926
212.0,212,3.492479
130.0,130,3.88772
164.0,164,4.378392
257.0,257,5.559996
165.0,165,6.094574
236.0,236,6.782086
391.0,391,7.968733
500.0,500,10.956079
500.0,500,12.597273
500.0,500,14.142673
500.0,500,17.051757
500.0,500,18.803568
500.0,500,21.769489
500.0,500,23.362136
500.0,500,25.053008
500.0,500,27.734574
500.0,500,29.280341
500.0,500,31.944797
500.0,500,33.537924
500.0,500,35.131202
500.0,500,37.786504
500.0,500,39.398571
500.0,500,42.139863
500.0,500,43.588299
500.0,500,45.165471
500.0,500,47.827235
500.0,500,49.363734
