#{"t_start": 1738536966.1220675, "env_id": "CartPole-v1"}
r,l,t
22.0,22,1.142117
20.0,20,1.375968
18.0,18,1.399727
15.0,15,1.488047
30.0,30,1.578053
51.0,51,1.692006
27.0,27,1.779358
41.0,41,1.885681
52.0,52,2.074843
50.0,50,2.244331
27.0,27,2.331945
52.0,52,2.449491
27.0,27,2.533779
85.0,85,2.823584
112.0,112,3.137305
123.0,123,3.506979
87.0,87,3.790451
162.0,162,4.282906
369.0,369,5.807265
190.0,190,6.411019
465.0,465,7.788789
500.0,500,10.750769
500.0,500,12.36188
500.0,500,14.013165
500.0,500,16.87346
500.0,500,18.564661
500.0,500,21.638414
500.0,500,23.169788
500.0,500,24.863582
500.0,500,27.553597
500.0,500,29.094035
500.0,500,31.837499
500.0,500,33.334054
500.0,500,34.949141
500.0,500,37.676674
500.0,500,39.201024
500.0,500,41.956053
500.0,500,43.406899
500.0,500,44.979262
500.0,500,47.718706
500.0,500,49.18605
