#{"t_start": 1738536910.0239477, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,3.115306
-168.0,168,3.609917
-200.0,200,4.232587
-168.0,168,4.976591
-149.0,149,5.449265
-162.0,162,5.918962
-127.0,127,6.349377
-170.0,170,7.114314
-158.0,158,7.623792
-101.0,101,7.95161
-152.0,152,8.367831
-154.0,154,9.07593
-164.0,164,9.526516
-158.0,158,9.975358
-168.0,168,10.480098
-167.0,167,11.250968
-154.0,154,11.698011
-161.0,161,12.203976
-93.0,93,12.448098
-89.0,89,12.711269
-93.0,93,13.250103
-165.0,165,13.727745
-86.0,86,13.967152
-151.0,151,14.519147
-157.0,157,15.055904
-153.0,153,15.688768
-93.0,93,15.95632
-155.0,155,16.407177
-163.0,163,16.851749
-159.0,159,17.492361
-87.0,87,17.729858
-162.0,162,18.182451
-168.0,168,18.672046
-154.0,154,19.374251
-94.0,94,19.633902
-170.0,170,20.191888
-155.0,155,20.76849
-156.0,156,21.215549
-87.0,87,21.717879
-96.0,96,21.994326
-86.0,86,22.249106
-154.0,154,22.737109
-153.0,153,23.182773
-91.0,91,23.71375
-160.0,160,24.211134
-150.0,150,24.726056
-91.0,91,25.017143
-156.0,156,25.588938
-156.0,156,26.293348
-150.0,150,26.739277
-151.0,151,27.196157
-180.0,180,27.698231
-169.0,169,28.360842
-155.0,155,28.844152
-153.0,153,29.433216
-150.0,150,29.835937
-151.0,151,30.528286
-151.0,151,31.016979
-155.0,155,31.515673
-151.0,151,31.962358
-88.0,88,32.523198
-111.0,111,32.921521
-144.0,144,33.379055
-88.0,88,33.660773
-143.0,143,34.095123
-145.0,145,34.91767
-92.0,92,35.236402
-148.0,148,35.735504
-170.0,170,36.331857
-147.0,147,36.745493
-151.0,151,37.465312
-147.0,147,37.894359
-160.0,160,38.39492
-165.0,165,38.884875
-157.0,157,39.590406
-146.0,146,40.113654
-90.0,90,40.408825
-148.0,148,40.915488
-143.0,143,41.649067
-144.0,144,42.096781
-142.0,142,42.527368
-110.0,110,42.855154
-110.0,110,43.222496
-110.0,110,43.79742
-163.0,163,44.321017
-151.0,151,44.829784
-159.0,159,45.314639
-115.0,115,45.704027
-110.0,110,46.317372
-155.0,155,46.78439
-168.0,168,47.313668
-149.0,149,47.738038
-139.0,139,48.47441
-156.0,156,48.980058
-87.0,87,49.305696
-153.0,153,49.846824
-151.0,151,50.370532
-144.0,144,51.137849
-84.0,84,51.438241
-157.0,157,51.952403
-146.0,146,52.427715
-143.0,143,53.1602
-142.0,142,53.631332
-149.0,149,54.081829
-144.0,144,54.559978
-150.0,150,55.040044
-143.0,143,55.756448
-152.0,152,56.318322
-109.0,109,56.682322
-112.0,112,57.054793
