#{"t_start": 1738536910.023604, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,3.115616
-200.0,200,3.704517
-168.0,168,4.232854
-155.0,155,4.963445
-172.0,172,5.459148
-155.0,155,5.922287
-150.0,150,6.409545
-154.0,154,7.166777
-91.0,91,7.463672
-157.0,157,7.95072
-159.0,159,8.402449
-162.0,162,9.118356
-86.0,86,9.340932
-89.0,89,9.608951
-155.0,155,10.031471
-148.0,148,10.516424
-145.0,145,11.19678
-95.0,95,11.496004
-160.0,160,11.968083
-87.0,87,12.211606
-159.0,159,12.666964
-153.0,153,13.357999
-183.0,183,13.911119
-110.0,110,14.276009
-96.0,96,14.633746
-153.0,153,15.11675
-154.0,154,15.777395
-155.0,155,16.221466
-88.0,88,16.459364
-154.0,154,16.89204
-92.0,92,17.364188
-91.0,91,17.584893
-172.0,172,18.091601
-157.0,157,18.535834
-86.0,86,18.76252
-156.0,156,19.477051
-154.0,154,19.960554
-108.0,108,20.313762
-161.0,161,20.876782
-157.0,157,21.588037
-85.0,85,21.812242
-154.0,154,22.297282
-104.0,104,22.640259
-152.0,152,23.066744
-85.0,85,23.335469
-88.0,88,23.855785
-92.0,92,24.15089
-149.0,149,24.631998
-152.0,152,25.123898
-150.0,150,25.692504
-156.0,156,26.384546
-173.0,173,26.886312
-153.0,153,27.338235
-99.0,99,27.611724
-152.0,152,28.258932
-154.0,154,28.693735
-154.0,154,29.270108
-151.0,151,29.710355
-151.0,151,30.420104
-98.0,98,30.722066
-92.0,92,31.014056
-92.0,92,31.280878
-151.0,151,31.768493
-151.0,151,32.520341
-145.0,145,33.02572
-84.0,84,33.313123
-153.0,153,33.758078
-151.0,151,34.268468
-148.0,148,35.063332
-85.0,85,35.347987
-151.0,151,35.889437
-145.0,145,36.380261
-148.0,148,36.797069
-150.0,150,37.516343
-151.0,151,37.977783
-165.0,165,38.482069
-155.0,155,38.933276
-110.0,110,39.530165
-152.0,152,40.009205
-145.0,145,40.516598
-158.0,158,41.069827
-141.0,141,41.797837
-141.0,141,42.228998
-148.0,148,42.667603
-154.0,154,43.161022
-144.0,144,43.841601
-144.0,144,44.312027
-146.0,146,44.780387
-147.0,147,45.257017
-147.0,147,45.710129
-141.0,141,46.426642
-142.0,142,46.874656
-150.0,150,47.319839
-152.0,152,47.779146
-158.0,158,48.547768
-157.0,157,49.088785
-162.0,162,49.690188
-149.0,149,50.200417
-163.0,163,51.011302
-109.0,109,51.431327
-142.0,142,51.896707
-163.0,163,52.423396
-147.0,147,53.159258
-111.0,111,53.538013
-147.0,147,53.985069
-139.0,139,54.455362
-145.0,145,54.901129
-155.0,155,55.656599
-142.0,142,56.112632
-109.0,109,56.53521
-145.0,145,57.011472
-154.0,154,58.036011
-148.0,148,58.705834
-115.0,115,59.278029
-148.0,148,60.098459
-110.0,110,60.59688
-111.0,111,61.496159
-112.0,112,62.136932
-111.0,111,62.675617
-113.0,113,63.195575
-160.0,160,63.927263
-110.0,110,64.876355
-111.0,111,65.497385
-152.0,152,66.316174
-165.0,165,67.075846
-116.0,116,67.626411
-112.0,112,68.636593
-110.0,110,69.168066
-113.0,113,69.70603
-114.0,114,70.26908
-113.0,113,70.874308
-111.0,111,71.38761
-114.0,114,72.204788
-113.0,113,72.780391
-112.0,112,73.27749
-110.0,110,73.78864
-111.0,111,74.380918
-84.0,84,75.443033
-112.0,112,76.031748
-112.0,112,76.632425
-111.0,111,77.265944
-153.0,153,77.953001
-110.0,110,78.46619
-115.0,115,79.405431
-114.0,114,79.978045
-83.0,83,80.365726
-112.0,112,80.907276
-114.0,114,81.535437
-112.0,112,82.351428
-113.0,113,82.814018
-111.0,111,83.312948
-148.0,148,83.98334
-85.0,85,84.367881
-158.0,158,85.186479
-116.0,116,86.127488
-87.0,87,86.563783
-87.0,87,86.914791
-114.0,114,87.372651
-114.0,114,87.819234
-112.0,112,88.326764
-111.0,111,89.182018
-114.0,114,89.772976
-115.0,115,90.390562
-159.0,159,91.221643
-116.0,116,91.799134
-84.0,84,92.469138
-85.0,85,92.807828
-164.0,164,93.60822
-111.0,111,94.180838
-112.0,112,94.753943
-91.0,91,95.549883
-116.0,116,96.144827
-117.0,117,96.680541
-85.0,85,97.026449
-115.0,115,97.481244
-115.0,115,97.968217
-112.0,112,98.808924
-112.0,112,99.362231
-115.0,115,99.942429
-112.0,112,100.518293
-157.0,157,101.373203
-83.0,83,101.766904
-113.0,113,102.539759
-85.0,85,102.892946
-147.0,147,103.600325
-150.0,150,104.414902
-111.0,111,104.973927
-111.0,111,105.951553
-111.0,111,106.450452
-144.0,144,107.114863
-110.0,110,107.573597
-113.0,113,108.08902
-110.0,110,108.634161
-155.0,155,109.050098
-172.0,172,109.587839
-115.0,115,109.942434
-115.0,115,110.395243
-112.0,112,111.05001
-111.0,111,111.511433
-114.0,114,111.853983
-117.0,117,112.189362
-84.0,84,112.453957
-115.0,115,113.064804
-113.0,113,113.389838
-115.0,115,113.712943
-114.0,114,114.03847
-114.0,114,114.371019
-116.0,116,114.819657
-116.0,116,115.461309
-86.0,86,115.761486
-115.0,115,116.163287
-111.0,111,116.518421
-113.0,113,116.863255
-83.0,83,117.167982
-112.0,112,117.693786
-152.0,152,118.106638
-113.0,113,118.430258
-110.0,110,118.847815
-158.0,158,119.384549
-147.0,147,120.238663
-113.0,113,120.781762
-86.0,86,121.138292
-91.0,91,121.438175
-116.0,116,121.863453
-83.0,83,122.110673
-163.0,163,122.749976
-88.0,88,122.983297
-112.0,112,123.355246
-150.0,150,123.810475
-113.0,113,124.180148
-147.0,147,124.907225
-84.0,84,125.179319
-154.0,154,125.664638
-166.0,166,126.201596
-151.0,151,126.886213
-152.0,152,127.308605
-154.0,154,127.774882
-117.0,117,128.121401
-114.0,114,128.488474
-148.0,148,129.265151
-110.0,110,129.635138
-147.0,147,130.109246
-83.0,83,130.361809
-159.0,159,131.123811
-149.0,149,131.6691
-83.0,83,131.954632
-164.0,164,132.422842
-152.0,152,132.879431
-110.0,110,133.467083
-160.0,160,134.047139
-157.0,157,134.596097
-171.0,171,135.100336
-148.0,148,135.763183
-158.0,158,136.239915
-115.0,115,136.691703
-116.0,116,137.056104
-158.0,158,137.525349
-150.0,150,138.192998
-84.0,84,138.469881
-114.0,114,138.841966
-112.0,112,139.213919
-117.0,117,139.564775
-111.0,111,140.140892
-116.0,116,140.514263
-112.0,112,140.84328
-117.0,117,141.156046
-116.0,116,141.517382
-114.0,114,141.850412
-112.0,112,142.372343
-86.0,86,142.603838
-84.0,84,142.852362
-161.0,161,143.362717
-116.0,116,143.741853
-93.0,93,144.178399
-91.0,91,144.478645
-86.0,86,144.764066
-83.0,83,145.038352
-112.0,112,145.415508
-113.0,113,145.879148
-111.0,111,146.242301
-112.0,112,146.833041
-86.0,86,147.071245
-86.0,86,147.30943
-158.0,158,147.782422
-115.0,115,148.145841
-112.0,112,148.671086
-87.0,87,148.91609
-85.0,85,149.169603
-88.0,88,149.457657
-153.0,153,149.958144
-91.0,91,150.245348
-111.0,111,150.790632
-112.0,112,151.116493
-90.0,90,151.41867
-112.0,112,151.737672
-113.0,113,152.057179
-86.0,86,152.284969
-115.0,115,152.899609
-111.0,111,153.286959
-114.0,114,153.580813
-152.0,152,154.031025
-85.0,85,154.276658
-156.0,156,154.970009
-87.0,87,155.226337
-84.0,84,155.532646
-85.0,85,155.8017
-115.0,115,156.154664
-172.0,172,156.822016
-113.0,113,157.460611
-88.0,88,157.704
-166.0,166,158.228151
-110.0,110,158.558765
-152.0,152,159.045145
-112.0,112,159.609491
-116.0,116,159.983191
-149.0,149,160.583936
-152.0,152,161.131591
-153.0,153,161.621179
-156.0,156,162.245274
-115.0,115,162.603318
