#{"t_start": 1738536910.0206094, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,3.118334
-170.0,170,3.644751
-172.0,172,4.143553
-200.0,200,5.02164
-175.0,175,5.544358
-127.0,127,5.919238
-138.0,138,6.360486
-120.0,120,7.000404
-162.0,162,7.518947
-149.0,149,7.964355
-153.0,153,8.410126
-87.0,87,8.627454
-151.0,151,9.339218
-155.0,155,9.763435
-156.0,156,10.227446
-159.0,159,10.730296
-154.0,154,11.452697
-159.0,159,11.925491
-169.0,169,12.404093
-160.0,160,12.855889
-101.0,101,13.443567
-91.0,91,13.688248
-86.0,86,13.957458
-169.0,169,14.527832
-89.0,89,14.836467
-152.0,152,15.511946
-149.0,149,15.952021
-91.0,91,16.187956
-157.0,157,16.637723
-89.0,89,16.892134
-159.0,159,17.532093
-153.0,153,17.970806
-157.0,157,18.405473
-170.0,170,18.891792
-111.0,111,19.440272
-156.0,156,19.925857
-86.0,86,20.244688
-86.0,86,20.548163
-156.0,156,21.061123
-90.0,90,21.309518
-87.0,87,21.805044
-157.0,157,22.291608
-153.0,153,22.744076
-156.0,156,23.223942
-153.0,153,23.915365
-160.0,160,24.439957
-151.0,151,24.967166
-89.0,89,25.274527
-152.0,152,25.79422
-164.0,164,26.497506
-153.0,153,26.972529
-157.0,157,27.426129
-152.0,152,27.841977
-154.0,154,28.491108
-156.0,156,28.976144
-97.0,97,29.379961
-92.0,92,29.625572
-151.0,151,30.322919
-94.0,94,30.620429
-84.0,84,30.869865
-150.0,150,31.329798
-160.0,160,31.825182
-91.0,91,32.126265
-150.0,150,32.922559
-147.0,147,33.383193
-152.0,152,33.853432
-147.0,147,34.341678
-146.0,146,35.141512
-146.0,146,35.611762
-154.0,154,36.195443
-159.0,159,36.660568
-149.0,149,37.365743
-160.0,160,37.850092
-148.0,148,38.334283
-157.0,157,38.764247
-152.0,152,39.489511
-110.0,110,39.836726
-142.0,142,40.346949
-148.0,148,40.835032
-146.0,146,41.325395
-145.0,145,42.046342
-142.0,142,42.475166
-144.0,144,42.903855
-109.0,109,43.270567
-85.0,85,43.516071
-146.0,146,44.220583
-140.0,140,44.678864
-148.0,148,45.15866
-151.0,151,45.653493
-84.0,84,46.165123
-163.0,163,46.686305
-149.0,149,47.125355
-111.0,111,47.46447
-167.0,167,47.981275
-151.0,151,48.759
-109.0,109,49.1458
-147.0,147,49.689246
-111.0,111,50.053091
-160.0,160,50.852721
-167.0,167,51.483684
-143.0,143,51.912771
-143.0,143,52.386703
-157.0,157,53.166359
-156.0,156,53.681326
-152.0,152,54.149484
-162.0,162,54.707385
-114.0,114,55.045275
-110.0,110,55.660677
-109.0,109,55.99834
-147.0,147,56.579331
-148.0,148,57.057925
-145.0,145,58.038819
-161.0,161,58.77976
-152.0,152,59.527352
-154.0,154,60.352013
-150.0,150,61.420874
-112.0,112,62.053901
-114.0,114,62.661227
-156.0,156,63.341963
-111.0,111,63.854439
-114.0,114,64.799857
-114.0,114,65.481013
-111.0,111,66.014101
-111.0,111,66.552434
-161.0,161,67.337757
-112.0,112,67.923478
-162.0,162,69.157934
-110.0,110,69.63719
-112.0,112,70.193281
-111.0,111,70.800688
-114.0,114,71.370009
-115.0,115,72.188342
-114.0,114,72.718711
-115.0,115,73.221743
-115.0,115,73.787337
-115.0,115,74.38528
-110.0,110,75.547392
-114.0,114,76.139747
-111.0,111,76.740175
-160.0,160,77.585268
-152.0,152,78.317869
-111.0,111,79.243411
-156.0,156,80.035816
-114.0,114,80.578823
-113.0,113,81.124465
-111.0,111,81.687573
-113.0,113,82.497162
-176.0,176,83.24578
-113.0,113,83.759782
-86.0,86,84.142602
-115.0,115,84.694154
-111.0,111,85.629789
-89.0,89,86.118705
-114.0,114,86.645456
-112.0,112,87.111866
-85.0,85,87.438781
-168.0,168,88.163915
-149.0,149,89.177754
-111.0,111,89.76399
-111.0,111,90.321196
-85.0,85,90.767376
-94.0,94,91.237894
-115.0,115,91.816507
-85.0,85,92.528204
-113.0,113,92.996599
-113.0,113,93.533542
-161.0,161,94.347208
-112.0,112,94.949859
-113.0,113,95.851018
-113.0,113,96.385517
-84.0,84,96.764872
-83.0,83,97.10034
-117.0,117,97.596935
-85.0,85,97.919127
-111.0,111,98.749232
-152.0,152,99.463436
-162.0,162,100.356947
-110.0,110,100.910367
-112.0,112,101.47834
-90.0,90,102.196071
-175.0,175,102.965129
-85.0,85,103.375648
-169.0,169,104.25526
-152.0,152,104.996758
-115.0,115,106.031975
-85.0,85,106.440093
-110.0,110,106.957797
-158.0,158,107.626558
-114.0,114,108.14078
-151.0,151,108.762312
-112.0,112,109.056743
-111.0,111,109.358407
-86.0,86,109.69752
-150.0,150,110.169626
-110.0,110,110.881792
-87.0,87,111.194451
-113.0,113,111.61356
-84.0,84,111.896726
-114.0,114,112.2228
-112.0,112,112.555099
-116.0,116,113.157909
-115.0,115,113.486207
-112.0,112,113.806535
-114.0,114,114.134564
-112.0,112,114.470551
-116.0,116,114.888403
-111.0,111,115.523115
-118.0,118,115.972898
-116.0,116,116.373908
-155.0,155,116.855132
-111.0,111,117.217037
-151.0,151,117.834594
-116.0,116,118.157032
-115.0,115,118.520269
-91.0,91,118.852607
-111.0,111,119.247205
-113.0,113,119.785171
-115.0,115,120.409455
-85.0,85,120.839354
-116.0,116,121.26341
-115.0,115,121.66051
-112.0,112,122.032663
-114.0,114,122.545103
-113.0,113,122.844078
-155.0,155,123.352432
-111.0,111,123.679222
-168.0,168,124.481793
-112.0,112,124.821394
-88.0,88,125.124551
-155.0,155,125.615708
-154.0,154,126.072585
-89.0,89,126.400776
-110.0,110,126.936411
-112.0,112,127.257268
-84.0,84,127.490548
-89.0,89,127.772775
-112.0,112,128.115089
-111.0,111,128.439128
-147.0,147,129.213287
-85.0,85,129.527713
-113.0,113,129.882882
-111.0,111,130.216866
-85.0,85,130.473543
-112.0,112,130.826564
-110.0,110,131.491686
-113.0,113,131.910683
-112.0,112,132.236374
-165.0,165,132.74041
-159.0,159,133.42793
-149.0,149,133.985671
-112.0,112,134.405884
-115.0,115,134.7477
-113.0,113,135.098465
