#{"t_start": 1738536910.0242803, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,3.115005
-167.0,167,3.608569
-156.0,156,4.086067
-189.0,189,4.921033
-156.0,156,5.402696
-125.0,125,5.769858
-174.0,174,6.304222
-164.0,164,7.101455
-166.0,166,7.618881
-159.0,159,8.106674
-156.0,156,8.530827
-91.0,91,9.040578
-155.0,155,9.480442
-155.0,155,9.929162
-163.0,163,10.422191
-94.0,94,10.722705
-150.0,150,11.407573
-108.0,108,11.737434
-94.0,94,12.019777
-163.0,163,12.489587
-171.0,171,13.249843
-167.0,167,13.729406
-89.0,89,14.0072
-181.0,181,14.637515
-152.0,152,15.14927
-158.0,158,15.783551
-166.0,166,16.267925
-157.0,157,16.714338
-114.0,114,17.020676
-158.0,158,17.661468
-162.0,162,18.129253
-109.0,109,18.440958
-159.0,159,18.857828
-154.0,154,19.579831
-157.0,157,20.07288
-164.0,164,20.664037
-154.0,154,21.161094
-87.0,87,21.631356
-152.0,152,22.089647
-153.0,153,22.552419
-85.0,85,22.823998
-153.0,153,23.273254
-153.0,153,24.001325
-96.0,96,24.301822
-149.0,149,24.797704
-158.0,158,25.380327
-94.0,94,25.690237
-160.0,160,26.387069
-158.0,158,26.874398
-92.0,92,27.114933
-91.0,91,27.384391
-153.0,153,27.832194
-183.0,183,28.538207
-155.0,155,29.094239
-88.0,88,29.390743
-153.0,153,29.833681
-165.0,165,30.577366
-156.0,156,31.069723
-153.0,153,31.529304
-151.0,151,32.009924
-88.0,88,32.581313
-164.0,164,33.157556
-154.0,154,33.616377
-152.0,152,34.093574
-150.0,150,34.921014
-156.0,156,35.449661
-111.0,111,35.832905
-148.0,148,36.34018
-85.0,85,36.576233
-148.0,148,37.296915
-145.0,145,37.745905
-163.0,163,38.235408
-145.0,145,38.665711
-144.0,144,39.340903
-149.0,149,39.786245
-171.0,171,40.404046
-146.0,146,40.907937
-142.0,142,41.642008
-142.0,142,42.088304
-148.0,148,42.520796
-148.0,148,42.949002
-88.0,88,43.269067
-152.0,152,43.960262
-145.0,145,44.430811
-111.0,111,44.790321
-85.0,85,45.09358
-141.0,141,45.51458
-143.0,143,46.228456
-114.0,114,46.626403
-110.0,110,46.932218
-147.0,147,47.403813
-113.0,113,47.732265
-158.0,158,48.531893
-147.0,147,49.019562
-112.0,112,49.408808
-167.0,167,50.000464
-144.0,144,50.738
-88.0,88,51.071118
-155.0,155,51.595179
-164.0,164,52.157649
-169.0,169,52.685704
-148.0,148,53.452341
-153.0,153,53.926331
-137.0,137,54.402259
-147.0,147,54.850931
-111.0,111,55.464627
-153.0,153,55.935143
-148.0,148,56.488754
-149.0,149,57.003164
-110.0,110,57.370164
-148.0,148,58.477848
-110.0,110,59.020959
-111.0,111,59.583755
-148.0,148,60.345462
-148.0,148,61.410054
-113.0,113,62.045823
-113.0,113,62.599756
-155.0,155,63.331186
-113.0,113,63.84658
-112.0,112,64.396233
-107.0,107,65.397642
-114.0,114,65.994643
-110.0,110,66.533259
-110.0,110,67.065664
-172.0,172,67.918297
-114.0,114,68.92286
-109.0,109,69.401577
-149.0,149,70.171078
-111.0,111,70.777326
-165.0,165,71.831335
-111.0,111,72.353918
-114.0,114,72.861902
-112.0,112,73.357471
-114.0,114,73.935817
-115.0,115,74.561831
-115.0,115,75.718024
-155.0,155,76.562845
-114.0,114,77.210214
-112.0,112,77.721611
-115.0,115,78.256569
-148.0,148,79.394053
-83.0,83,79.80963
-112.0,112,80.352144
-112.0,112,80.891324
-113.0,113,81.459899
-114.0,114,81.981152
-159.0,159,82.958316
-111.0,111,83.467624
-152.0,152,84.147438
-158.0,158,84.929181
-111.0,111,85.89322
-114.0,114,86.433173
-153.0,153,87.108429
-111.0,111,87.554428
-113.0,113,88.02391
-117.0,117,88.870853
-83.0,83,89.275403
-87.0,87,89.757252
-111.0,111,90.314507
-112.0,112,90.917209
-115.0,115,91.470023
-113.0,113,92.33601
-153.0,153,92.991604
-116.0,116,93.532784
-165.0,165,94.352403
-116.0,116,94.961254
-83.0,83,95.763639
-115.0,115,96.30017
-112.0,112,96.819238
-113.0,113,97.280981
-112.0,112,97.723754
-154.0,154,98.734695
-148.0,148,99.444107
-84.0,84,99.869095
-84.0,84,100.291066
-110.0,110,100.899568
-165.0,165,101.707778
-149.0,149,102.688308
-150.0,150,103.368073
-154.0,154,104.173912
-148.0,148,104.890962
-111.0,111,105.882762
-156.0,156,106.667672
-112.0,112,107.166684
-111.0,111,107.623118
-111.0,111,108.134353
-115.0,115,108.669783
-114.0,114,108.963073
-84.0,84,109.181313
-110.0,110,109.531922
-161.0,161,110.044916
-159.0,159,110.933285
-116.0,116,111.415265
-115.0,115,111.757306
-83.0,83,112.042677
-83.0,83,112.266315
-112.0,112,112.608885
-116.0,116,113.205265
-112.0,112,113.528523
-112.0,112,113.848987
-86.0,86,114.0871
-117.0,117,114.460681
-111.0,111,114.872819
-117.0,117,115.513722
-86.0,86,115.816731
-89.0,89,116.154672
-162.0,162,116.659162
-113.0,113,117.029117
-111.0,111,117.564028
-113.0,113,117.878727
-115.0,115,118.197759
-87.0,87,118.469956
-111.0,111,118.889559
-111.0,111,119.283791
-148.0,148,120.022437
-84.0,84,120.472495
-153.0,153,121.13999
-111.0,111,121.537249
-89.0,89,121.823888
-85.0,85,122.106943
-117.0,117,122.619689
-83.0,83,122.8357
-151.0,151,123.307043
-150.0,150,123.764721
-156.0,156,124.564622
-113.0,113,124.900925
-156.0,156,125.376187
-156.0,156,125.866934
-152.0,152,126.394012
-153.0,153,127.029977
-113.0,113,127.354882
-110.0,110,127.674286
-115.0,115,128.020993
-111.0,111,128.374888
-84.0,84,128.9199
-116.0,116,129.325893
-111.0,111,129.717204
-113.0,113,130.062371
-148.0,148,130.515449
-152.0,152,131.292182
-148.0,148,131.853614
-113.0,113,132.183474
-156.0,156,132.632002
-87.0,87,132.879782
-113.0,113,133.470308
-149.0,149,133.993371
-153.0,153,134.552326
-151.0,151,135.005365
-113.0,113,135.341795
-112.0,112,135.892222
-113.0,113,136.283725
-162.0,162,136.862895
-84.0,84,137.101066
-165.0,165,137.582268
-115.0,115,138.141636
-84.0,84,138.457438
-112.0,112,138.79787
-91.0,91,139.060742
-114.0,114,139.413071
-114.0,114,139.806626
-115.0,115,140.41329
-111.0,111,140.744431
-85.0,85,140.975254
-116.0,116,141.308341
-90.0,90,141.573072
-118.0,118,142.103734
-111.0,111,142.424257
-91.0,91,142.695677
-116.0,116,143.061497
-113.0,113,143.406989
-118.0,118,143.788963
-84.0,84,144.231292
-158.0,158,144.720328
-148.0,148,145.215298
-113.0,113,145.634301
-150.0,150,146.151546
-112.0,112,146.734155
-87.0,87,147.021124
-94.0,94,147.297982
-85.0,85,147.544052
-115.0,115,147.874385
-111.0,111,148.202091
-156.0,156,148.867414
-86.0,86,149.119888
-111.0,111,149.463668
-150.0,150,149.996094
-111.0,111,150.333253
-143.0,143,150.944545
-153.0,153,151.424896
-85.0,85,151.658098
-111.0,111,151.972985
-93.0,93,152.242132
-114.0,114,152.606832
-148.0,148,153.333066
-84.0,84,153.572082
-177.0,177,154.077514
-115.0,115,154.417426
-112.0,112,154.971388
-111.0,111,155.319631
-86.0,86,155.597885
-115.0,115,155.958977
-158.0,158,156.523335
-89.0,89,156.885401
-117.0,117,157.514563
-87.0,87,157.789925
-86.0,86,158.042406
-114.0,114,158.377665
-86.0,86,158.663595
-111.0,111,158.997452
-114.0,114,159.601207
-112.0,112,159.968825
-115.0,115,160.383064
-85.0,85,160.709692
-147.0,147,161.236908
-113.0,113,161.575563
-113.0,113,162.097649
-111.0,111,162.430205
-152.0,152,162.878874
-111.0,111,163.193866
-85.0,85,163.425918
-112.0,112,163.934804
-111.0,111,164.312564
-113.0,113,164.663142
-111.0,111,165.003292
-160.0,160,165.493667
-112.0,112,166.060188
-113.0,113,166.424973
-113.0,113,166.782647
-87.0,87,167.057338
-111.0,111,167.377909
-111.0,111,167.668446
-112.0,112,168.215526
-113.0,113,168.588241
-115.0,115,168.992901
-161.0,161,169.586681
-113.0,113,169.922622
-115.0,115,170.463722
-115.0,115,170.802339
-113.0,113,171.134315
-84.0,84,171.406001
-111.0,111,171.716618
-110.0,110,172.065261
-111.0,111,172.634933
-166.0,166,173.144789
-111.0,111,173.467533
-112.0,112,173.787188
-114.0,114,174.116777
-113.0,113,174.667971
-110.0,110,175.06693
-86.0,86,175.34834
-158.0,158,175.921972
-111.0,111,176.280727
-114.0,114,176.85652
-156.0,156,177.332119
-111.0,111,177.646999
-113.0,113,177.941047
-168.0,168,178.368338
-111.0,111,178.901403
-147.0,147,179.372528
-110.0,110,179.732308
-168.0,168,180.335934
-110.0,110,180.731347
-111.0,111,181.302184
