#{"t_start": 1738536910.0195599, "env_id": "MountainCar-v0"}
r,l,t
-112.0,112,139.264056
-119.0,119,139.629095
-117.0,117,140.201269
-85.0,85,140.514176
-114.0,114,140.845272
-118.0,118,141.158903
-113.0,113,141.488981
-117.0,117,141.853326
-88.0,88,142.290606
-112.0,112,142.608641
-119.0,119,143.012482
-151.0,151,143.45514
-114.0,114,143.801716
-159.0,159,144.481435
-114.0,114,144.825287
-93.0,93,145.172421
-118.0,118,145.586601
-116.0,116,146.047147
-113.0,113,146.604356
-112.0,112,146.977073
-89.0,89,147.217465
-111.0,111,147.551406
-156.0,156,148.015617
-112.0,112,148.368252
-113.0,113,148.873857
-163.0,163,149.372818
-152.0,152,149.902099
-149.0,149,150.345448
-112.0,112,150.894547
-87.0,87,151.128094
-112.0,112,151.47992
-113.0,113,151.830766
-84.0,84,152.062947
-112.0,112,152.388149
-88.0,88,152.904726
-163.0,163,153.421184
-110.0,110,153.710008
-116.0,116,154.07904
-116.0,116,154.420016
-112.0,112,154.973818
-115.0,115,155.326191
-114.0,114,155.712622
-114.0,114,156.058935
-114.0,114,156.464525
-116.0,116,156.949394
-84.0,84,157.465496
-157.0,157,157.949349
-113.0,113,158.280274
-113.0,113,158.614591
-85.0,85,158.883817
-116.0,116,159.23822
-111.0,111,159.808183
-113.0,113,160.219193
-154.0,154,160.809567
-148.0,148,161.338895
-112.0,112,161.862594
-151.0,151,162.333322
-114.0,114,162.655799
-112.0,112,162.973997
-113.0,113,163.290969
-113.0,113,163.609738
-115.0,115,164.169489
-113.0,113,164.525372
-113.0,113,164.861362
-113.0,113,165.214532
-112.0,112,165.55988
-111.0,111,166.116898
-113.0,113,166.491044
-111.0,111,166.835711
-84.0,84,167.106178
-115.0,115,167.431765
-83.0,83,167.664963
-110.0,110,168.209651
-114.0,114,168.551659
-164.0,164,169.119328
-113.0,113,169.541165
-114.0,114,169.886707
-113.0,113,170.425433
-113.0,113,170.763507
-111.0,111,171.093506
-85.0,85,171.365757
-112.0,112,171.71001
-115.0,115,172.06341
-86.0,86,172.513657
-110.0,110,172.875691
-154.0,154,173.337865
-83.0,83,173.562777
-113.0,113,173.890657
-112.0,112,174.225543
-164.0,164,174.967729
-115.0,115,175.360311
-155.0,155,175.930467
-113.0,113,176.291626
-156.0,156,177.007866
-113.0,113,177.342227
-111.0,111,177.656156
-111.0,111,177.94827
-111.0,111,178.241574
-112.0,112,178.536477
-154.0,154,179.200183
-114.0,114,179.625946
-112.0,112,180.011425
-112.0,112,180.398078
-111.0,111,180.784229
-158.0,158,181.463287
-111.0,111,181.783434
-110.0,110,182.08204
-110.0,110,182.386932
-155.0,155,182.825055
-113.0,113,183.379448
-109.0,109,183.722229
-109.0,109,184.032777
-109.0,109,184.367989
-113.0,113,184.730953
-113.0,113,185.303647
-152.0,152,185.763239
-154.0,154,186.240867
-111.0,111,186.574259
-110.0,110,186.915029
-111.0,111,187.493579
-112.0,112,187.846495
-111.0,111,188.207476
-113.0,113,188.55964
-115.0,115,188.900814
-114.0,114,189.306449
-114.0,114,189.900767
-115.0,115,190.27411
-114.0,114,190.650896
-85.0,85,190.898157
-111.0,111,191.237714
-155.0,155,191.903746
-112.0,112,192.216687
-89.0,89,192.482424
-113.0,113,192.805106
-113.0,113,193.123277
-157.0,157,193.732493
-117.0,117,194.144652
-85.0,85,194.407892
-112.0,112,194.768376
-116.0,116,195.14122
-114.0,114,195.577422
-112.0,112,196.199326
-114.0,114,196.681985
-114.0,114,197.043278
-116.0,116,197.372405
-87.0,87,197.600837
-117.0,117,197.943775
-112.0,112,198.438976
-113.0,113,198.745548
-85.0,85,198.970636
-114.0,114,199.299714
-117.0,117,199.684812
-95.0,95,199.955301
-116.0,116,200.550451
-112.0,112,200.902443
-85.0,85,201.159284
-111.0,111,201.551937
-113.0,113,201.883701
-114.0,114,202.219986
-115.0,115,202.708968
-111.0,111,203.012688
-110.0,110,203.319345
-115.0,115,203.630392
-113.0,113,203.936757
-110.0,110,204.481173
-114.0,114,204.808625
-110.0,110,205.131689
-110.0,110,205.454599
-114.0,114,205.780968
-84.0,84,206.049437
-86.0,86,206.485909
-111.0,111,206.788786
-115.0,115,207.09368
