#{"t_start": 1738536910.0232894, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,3.115902
-176.0,176,3.648043
-186.0,186,4.226348
-154.0,154,4.926073
-158.0,158,5.409435
-128.0,128,5.779423
-156.0,156,6.296021
-146.0,146,6.999823
-164.0,164,7.520067
-153.0,153,8.005302
-156.0,156,8.445468
-149.0,149,9.121522
-85.0,85,9.343162
-162.0,162,9.803593
-153.0,153,10.269192
-160.0,160,10.773212
-156.0,156,11.497487
-169.0,169,11.97789
-90.0,90,12.256375
-160.0,160,12.710045
-156.0,156,13.441181
-160.0,160,13.905389
-90.0,90,14.165596
-170.0,170,14.786756
-162.0,162,15.504813
-118.0,118,15.826701
-168.0,168,16.312935
-100.0,100,16.587542
-97.0,97,16.855297
-89.0,89,17.104415
-90.0,90,17.540697
-159.0,159,18.011993
-97.0,97,18.269091
-98.0,98,18.54543
-90.0,90,18.80403
-152.0,152,19.521097
-162.0,162,20.011661
-152.0,152,20.549089
-152.0,152,21.05732
-154.0,154,21.724054
-87.0,87,21.991951
-154.0,154,22.457901
-102.0,102,22.779609
-171.0,171,23.278093
-168.0,168,24.055075
-152.0,152,24.542065
-153.0,153,25.062716
-158.0,158,25.635642
-153.0,153,26.304315
-88.0,88,26.584205
-95.0,95,26.87821
-150.0,150,27.296322
-157.0,157,27.747805
-170.0,170,28.442576
-154.0,154,28.901104
-156.0,156,29.486804
-150.0,150,29.887074
-90.0,90,30.424532
-152.0,152,30.911244
-160.0,160,31.416027
-156.0,156,31.872079
-145.0,145,32.638209
-155.0,155,33.164526
-112.0,112,33.522461
-91.0,91,33.801104
-150.0,150,34.277905
-87.0,87,34.912537
-151.0,151,35.399844
-149.0,149,35.901714
-149.0,149,36.425691
-147.0,147,36.843285
-146.0,146,37.563654
-147.0,147,37.983421
-144.0,144,38.437109
-148.0,148,38.85018
-143.0,143,39.541152
-143.0,143,40.011822
-154.0,154,40.568469
-156.0,156,41.114058
-145.0,145,41.843022
-152.0,152,42.285467
-153.0,153,42.752314
-110.0,110,43.106403
-168.0,168,43.850183
-151.0,151,44.365172
-89.0,89,44.630199
-153.0,153,45.148265
-147.0,147,45.604628
-84.0,84,46.111563
-156.0,156,46.632059
-112.0,112,46.973134
-109.0,109,47.313224
-152.0,152,47.740505
-114.0,114,48.372845
-112.0,112,48.758499
-86.0,86,49.078865
-142.0,142,49.624537
-161.0,161,50.145759
-149.0,149,50.901405
-85.0,85,51.205346
-150.0,150,51.753562
-147.0,147,52.227798
-157.0,157,52.733417
-148.0,148,53.491622
-148.0,148,53.929251
-148.0,148,54.415484
-139.0,139,54.856913
-145.0,145,55.571096
-159.0,159,56.105248
-142.0,142,56.631718
-111.0,111,57.005117
-111.0,111,57.373078
-149.0,149,58.483538
-156.0,156,59.266393
-113.0,113,59.854956
-147.0,147,60.587999
-145.0,145,61.656384
-110.0,110,62.288797
-114.0,114,62.820501
-113.0,113,63.33639
-117.0,117,63.907099
-114.0,114,64.860739
-112.0,112,65.482005
-110.0,110,66.07134
-113.0,113,66.601542
-114.0,114,67.148217
-113.0,113,67.691109
-114.0,114,68.70399
-108.0,108,69.234123
-112.0,112,69.768916
-110.0,110,70.335824
-114.0,114,70.930629
-112.0,112,71.444427
-163.0,163,72.501737
-113.0,113,73.002582
-115.0,115,73.507591
-114.0,114,74.101761
-171.0,171,75.619704
-111.0,111,76.207685
-83.0,83,76.643999
-111.0,111,77.276861
-163.0,163,78.034676
-113.0,113,78.545206
-115.0,115,79.485821
-115.0,115,80.113465
-158.0,158,80.82783
-114.0,114,81.451633
-113.0,113,81.972211
-115.0,115,82.75467
-158.0,158,83.462487
-110.0,110,83.977502
-113.0,113,84.511955
-116.0,116,85.077011
-83.0,83,85.889529
-110.0,110,86.423665
-151.0,151,87.053208
-113.0,113,87.504385
-159.0,159,88.176134
-115.0,115,89.080956
-112.0,112,89.662397
-116.0,116,90.238376
-114.0,114,90.840901
-110.0,110,91.388018
-86.0,86,91.809863
-83.0,83,92.47652
-85.0,85,92.858603
-112.0,112,93.376723
-113.0,113,93.94071
-88.0,88,94.354837
-119.0,119,95.020356
-162.0,162,96.152885
-111.0,111,96.679396
-111.0,111,97.148743
-88.0,88,97.478808
-158.0,158,98.124496
-112.0,112,98.98541
-85.0,85,99.383498
-113.0,113,99.961003
-153.0,153,100.818175
-151.0,151,101.553264
-112.0,112,102.332979
-110.0,110,102.833023
-162.0,162,103.605144
-112.0,112,104.189981
-146.0,146,104.974159
-152.0,152,106.121684
-149.0,149,106.831323
-173.0,173,107.571173
-115.0,115,108.089277
-158.0,158,108.760741
-159.0,159,109.18324
-148.0,148,109.659267
-84.0,84,109.939595
-109.0,109,110.381044
-114.0,114,111.033175
-84.0,84,111.40988
-117.0,117,111.754492
-114.0,114,112.099847
-169.0,169,112.610821
-114.0,114,113.205243
-116.0,116,113.53223
-85.0,85,113.79682
-112.0,112,114.122849
-112.0,112,114.458753
-117.0,117,114.876695
-114.0,114,115.514605
-117.0,117,115.919374
-91.0,91,116.262974
-87.0,87,116.519712
-87.0,87,116.804843
-166.0,166,117.521862
-151.0,151,117.966906
-83.0,83,118.192448
-152.0,152,118.68193
-160.0,160,119.248598
-113.0,113,119.789472
-91.0,91,120.323287
-111.0,111,120.843509
-167.0,167,121.480628
-151.0,151,121.97997
-113.0,113,122.495889
-87.0,87,122.716234
-111.0,111,123.052032
-153.0,153,123.537443
-170.0,170,124.076305
-111.0,111,124.708949
-112.0,112,125.063042
-160.0,160,125.562156
-85.0,85,125.811014
-88.0,88,126.071281
-84.0,84,126.39366
-85.0,85,126.843912
-113.0,113,127.164583
-110.0,110,127.486133
-154.0,154,127.921307
-83.0,83,128.205844
-110.0,110,128.590325
-114.0,114,129.210816
-151.0,151,129.724326
-85.0,85,129.980712
-114.0,114,130.358173
-150.0,150,130.817997
-155.0,155,131.661713
-111.0,111,132.038788
-111.0,111,132.323297
-113.0,113,132.685172
-112.0,112,133.002558
-112.0,112,133.656768
-155.0,155,134.17152
-111.0,111,134.556151
-146.0,146,135.004413
-84.0,84,135.279107
-113.0,113,135.821414
-157.0,157,136.300065
-113.0,113,136.705213
-163.0,163,137.236552
-113.0,113,137.575613
-111.0,111,138.130221
-117.0,117,138.514553
-111.0,111,138.84769
-115.0,115,139.222557
-117.0,117,139.574646
-112.0,112,140.150391
-112.0,112,140.520392
-112.0,112,140.849032
-111.0,111,141.156302
-88.0,88,141.434249
-84.0,84,141.671719
-156.0,156,142.328236
-112.0,112,142.645377
-99.0,99,142.968818
-116.0,116,143.314426
-92.0,92,143.594893
-112.0,112,143.933861
-114.0,114,144.478898
-164.0,164,144.988107
-112.0,112,145.376418
-155.0,155,145.994652
-87.0,87,146.288596
-112.0,112,146.875865
-85.0,85,147.114198
-112.0,112,147.43927
-112.0,112,147.775553
-111.0,111,148.104243
-92.0,92,148.408569
-115.0,115,148.912515
-151.0,151,149.368274
-155.0,155,149.900694
-151.0,151,150.345649
-111.0,111,150.894102
-153.0,153,151.374697
-111.0,111,151.694223
-148.0,148,152.108083
-111.0,111,152.44232
-146.0,146,153.197274
-155.0,155,153.614533
-112.0,112,153.93225
-116.0,116,154.275083
-85.0,85,154.521547
-115.0,115,155.084858
-86.0,86,155.378871
-111.0,111,155.752086
-172.0,172,156.327987
-114.0,114,156.754297
-115.0,115,157.404229
-116.0,116,157.746647
-84.0,84,158.001483
-116.0,116,158.370268
-113.0,113,158.724237
-147.0,147,159.179722
-110.0,110,159.741571
-112.0,112,160.146099
-84.0,84,160.449097
-111.0,111,160.852398
-148.0,148,161.382725
-113.0,113,161.906816
-86.0,86,162.185328
-151.0,151,162.609139
-171.0,171,163.103331
-111.0,111,163.420614
-111.0,111,163.928389
-157.0,157,164.418225
-157.0,157,164.903763
-110.0,110,165.256298
-112.0,112,165.600343
-112.0,112,166.179023
-115.0,115,166.532704
-115.0,115,166.882991
-110.0,110,167.205189
-109.0,109,167.526817
-114.0,114,167.860237
-113.0,113,168.409238
-113.0,113,168.776025
-86.0,86,169.109581
-114.0,114,169.532461
-116.0,116,169.880331
-112.0,112,170.418141
-114.0,114,170.757179
-155.0,155,171.22423
-84.0,84,171.465741
-113.0,113,171.813223
-114.0,114,172.161801
-113.0,113,172.734652
-163.0,163,173.241637
-114.0,114,173.556389
-109.0,109,173.88054
-112.0,112,174.215261
-114.0,114,174.77805
-113.0,113,175.168657
-94.0,94,175.531346
-150.0,150,176.026728
-111.0,111,176.412535
-114.0,114,176.954395
-165.0,165,177.44363
-112.0,112,177.745118
-114.0,114,178.063449
-110.0,110,178.330363
-110.0,110,178.851602
-111.0,111,179.19225
-113.0,113,179.583191
-113.0,113,179.961396
-152.0,152,180.513775
-113.0,113,180.884836
-109.0,109,181.449389
-148.0,148,181.859463
-154.0,154,182.287759
-154.0,154,182.696128
-111.0,111,183.229259
-154.0,154,183.720782
-147.0,147,184.166855
-147.0,147,184.607738
-112.0,112,184.989974
-112.0,112,185.531854
-113.0,113,185.858029
-160.0,160,186.356264
-150.0,150,186.852833
-113.0,113,187.427123
-111.0,111,187.782499
-113.0,113,188.142162
-84.0,84,188.40287
-113.0,113,188.747805
-111.0,111,189.099833
-86.0,86,189.364633
-110.0,110,189.95587
-115.0,115,190.339037
-114.0,114,190.703323
-113.0,113,191.074727
-113.0,113,191.422641
-112.0,112,191.939776
-87.0,87,192.16951
-118.0,118,192.492538
-111.0,111,192.813164
-113.0,113,193.130623
-85.0,85,193.413467
-112.0,112,193.92358
-87.0,87,194.195905
-111.0,111,194.557863
-115.0,115,194.918409
-92.0,92,195.252429
-113.0,113,195.69423
-84.0,84,196.193461
-112.0,112,196.636415
-116.0,116,197.037792
-176.0,176,197.540825
-112.0,112,197.850492
-117.0,117,198.350302
-117.0,117,198.662475
-88.0,88,198.915398
-112.0,112,199.243421
-158.0,158,199.731535
-89.0,89,199.996585
-112.0,112,200.553366
-85.0,85,200.811246
-113.0,113,201.198743
-115.0,115,201.591447
-159.0,159,202.062565
-117.0,117,202.567904
-114.0,114,202.875521
-91.0,91,203.13341
-111.0,111,203.443873
-113.0,113,203.749033
-84.0,84,203.973788
-167.0,167,204.668147
-113.0,113,205.023663
-114.0,114,205.350848
-85.0,85,205.586847
-112.0,112,205.912687
-111.0,111,206.435186
-113.0,113,206.743349
-112.0,112,207.045984
