#{"t_start": 1738536910.0246189, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,3.114696
-170.0,170,3.640994
-162.0,162,4.129822
-164.0,164,4.873536
-135.0,135,5.272276
-125.0,125,5.639327
-120.0,120,6.017114
-122.0,122,6.406633
-138.0,138,7.106172
-124.0,124,7.511214
-88.0,88,7.764433
-163.0,163,8.243382
-157.0,157,8.667835
-118.0,118,9.289993
-89.0,89,9.527894
-151.0,151,9.969904
-156.0,156,10.427807
-155.0,155,11.152464
-90.0,90,11.447759
-90.0,90,11.694361
-166.0,166,12.205569
-163.0,163,12.665019
-173.0,173,13.442171
-87.0,87,13.682455
-161.0,161,14.164398
-96.0,96,14.524163
-97.0,97,14.840879
-168.0,168,15.587227
-158.0,158,16.040651
-85.0,85,16.269532
-158.0,158,16.717274
-92.0,92,16.972438
-90.0,90,17.413302
-86.0,86,17.660087
-89.0,89,17.925416
-93.0,93,18.174557
-155.0,155,18.621777
-88.0,88,18.851971
-158.0,158,19.577237
-158.0,158,20.071364
-152.0,152,20.609426
-153.0,153,21.114694
-160.0,160,21.803069
-158.0,158,22.29108
-184.0,184,22.8345
-164.0,164,23.368516
-155.0,155,24.058849
-153.0,153,24.578962
-173.0,173,25.158441
-88.0,88,25.478459
-85.0,85,25.748389
-85.0,85,26.244396
-85.0,85,26.490863
-85.0,85,26.742418
-156.0,156,27.203492
-176.0,176,27.702138
-155.0,155,28.352042
-93.0,93,28.626723
-154.0,154,29.158634
-156.0,156,29.660629
-87.0,87,29.885869
-151.0,151,30.62068
-151.0,151,31.075204
-88.0,88,31.368834
-147.0,147,31.81744
-87.0,87,32.073366
-162.0,162,32.96025
-86.0,86,33.215404
-92.0,92,33.515707
-93.0,93,33.761589
-86.0,86,34.036594
-151.0,151,34.874449
-164.0,164,35.442946
-152.0,152,35.965259
-151.0,151,36.437945
-143.0,143,36.851325
-84.0,84,37.406592
-160.0,160,37.883834
-148.0,148,38.336488
-150.0,150,38.759425
-149.0,149,39.481493
-153.0,153,39.949379
-146.0,146,40.463074
-146.0,146,40.973295
-143.0,143,41.697217
-151.0,151,42.18148
-110.0,110,42.513808
-172.0,172,42.994027
-152.0,152,43.510395
-152.0,152,44.220796
-147.0,147,44.728918
-143.0,143,45.199406
-140.0,140,45.609938
-110.0,110,46.224198
-84.0,84,46.492899
-110.0,110,46.833214
-155.0,155,47.316931
-158.0,158,47.781884
-139.0,139,48.531649
-145.0,145,49.017102
-144.0,144,49.558979
-155.0,155,50.052269
-149.0,149,50.841216
-153.0,153,51.381778
-151.0,151,51.895823
-143.0,143,52.370212
-161.0,161,53.151414
-144.0,144,53.62616
-149.0,149,54.076549
-141.0,141,54.551744
