#{"t_start": 1738536910.02165, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,3.117391
-200.0,200,3.706317
-165.0,165,4.231352
-150.0,150,4.926567
-160.0,160,5.412011
-139.0,139,5.826924
-171.0,171,6.396968
-152.0,152,7.110003
-115.0,115,7.472237
-97.0,97,7.76836
-183.0,183,8.322028
-91.0,91,8.543119
-158.0,158,9.259463
-150.0,150,9.707521
-152.0,152,10.129781
-156.0,156,10.625084
-154.0,154,11.349633
-91.0,91,11.601175
-155.0,155,12.070517
-158.0,158,12.532835
-89.0,89,12.765089
-111.0,111,13.356972
-91.0,91,13.636956
-89.0,89,13.906871
-159.0,159,14.410236
-157.0,157,14.959519
-160.0,160,15.641945
-151.0,151,16.088793
-87.0,87,16.320081
-156.0,156,16.76647
-88.0,88,16.987839
-88.0,88,17.45417
-87.0,87,17.675041
-102.0,102,18.00627
-158.0,158,18.44463
-89.0,89,18.678041
-150.0,150,19.376343
-86.0,86,19.627824
-155.0,155,20.128138
-161.0,161,20.712184
-162.0,162,21.207782
-153.0,153,21.855091
-153.0,153,22.348169
-164.0,164,22.835341
-156.0,156,23.329428
-104.0,104,23.865364
-151.0,151,24.362672
-90.0,90,24.641229
-85.0,85,24.964075
-149.0,149,25.48126
-87.0,87,25.786564
-87.0,87,26.251086
-93.0,93,26.536453
-90.0,90,26.794175
-153.0,153,27.249309
-86.0,86,27.480797
-152.0,152,28.126423
-171.0,171,28.628325
-87.0,87,28.897151
-88.0,88,29.224814
-154.0,154,29.708516
-152.0,152,30.418843
-150.0,150,30.870862
-87.0,87,31.129899
-151.0,151,31.623231
-86.0,86,31.872601
-150.0,150,32.686159
-96.0,96,33.015518
-148.0,148,33.469944
-150.0,150,33.902002
-158.0,158,34.454056
-153.0,153,35.29252
-89.0,89,35.557557
-86.0,86,35.891262
-145.0,145,36.382055
-148.0,148,36.798866
-151.0,151,37.519245
-146.0,146,37.94481
-161.0,161,38.476418
-146.0,146,38.886995
-171.0,171,39.639365
-155.0,155,40.180714
-141.0,141,40.680689
-148.0,148,41.173842
-145.0,145,41.899843
-141.0,141,42.335421
-141.0,141,42.754867
-113.0,113,43.112803
-146.0,146,43.800551
-156.0,156,44.317028
-152.0,152,44.790914
-148.0,148,45.268168
-142.0,142,45.716723
-145.0,145,46.437006
-148.0,148,46.923937
-110.0,110,47.261749
-83.0,83,47.499047
-109.0,109,47.831887
-151.0,151,48.598549
-143.0,143,49.084622
-109.0,109,49.500545
-109.0,109,49.885655
-160.0,160,50.425534
-109.0,109,51.020838
-147.0,147,51.585735
-109.0,109,51.909898
-158.0,158,52.431781
-168.0,168,53.263352
-146.0,146,53.725519
-156.0,156,54.255461
-142.0,142,54.666953
-161.0,161,55.464877
-152.0,152,55.934423
-140.0,140,56.477954
-111.0,111,56.858029
-143.0,143,57.323178
-112.0,112,58.257256
-109.0,109,58.714818
-140.0,140,59.432536
-148.0,148,60.20077
-112.0,112,60.754984
-151.0,151,61.959909
-110.0,110,62.517078
-152.0,152,63.194531
-113.0,113,63.706713
-112.0,112,64.240078
-112.0,112,65.236974
-111.0,111,65.838593
-114.0,114,66.407345
-113.0,113,66.921135
-115.0,115,67.539844
-114.0,114,68.539728
-114.0,114,69.090151
-157.0,157,69.850661
-111.0,111,70.429404
-114.0,114,71.008866
-113.0,113,71.832348
-112.0,112,72.356354
-113.0,113,72.862995
-112.0,112,73.358406
-111.0,111,73.932694
-110.0,110,74.549346
-111.0,111,75.700995
-114.0,114,76.308172
-115.0,115,76.914615
-85.0,85,77.358954
-112.0,112,77.875794
-85.0,85,78.311114
-113.0,113,79.239177
-165.0,165,80.045278
-114.0,114,80.587817
-117.0,117,81.140213
-86.0,86,81.620559
-159.0,159,82.624659
-112.0,112,83.099008
-112.0,112,83.607038
-92.0,92,83.999832
-84.0,84,84.437667
-155.0,155,85.198539
-114.0,114,86.188738
-181.0,181,86.976069
-112.0,112,87.428135
-161.0,161,88.094254
-115.0,115,88.94309
-112.0,112,89.502224
-116.0,116,90.091971
-84.0,84,90.548285
-89.0,89,91.005697
-112.0,112,91.550402
-113.0,113,92.40777
-114.0,114,92.873919
-157.0,157,93.62097
-89.0,89,94.101584
-168.0,168,94.957895
-116.0,116,95.863159
-111.0,111,96.394901
-83.0,83,96.815713
-117.0,117,97.283433
-116.0,116,97.731772
-114.0,114,98.204986
-113.0,113,99.070776
-151.0,151,99.865429
-111.0,111,100.438463
-110.0,110,101.046985
-151.0,151,102.057372
-84.0,84,102.396772
-145.0,145,103.046779
-142.0,142,103.75463
-147.0,147,104.511558
-114.0,114,105.528949
-157.0,157,106.293346
-146.0,146,106.972595
-151.0,151,107.631171
-111.0,111,108.140824
-111.0,111,108.672233
-109.0,109,108.960962
-113.0,113,109.262148
-84.0,84,109.532067
-110.0,110,109.893377
-110.0,110,110.312731
-86.0,86,110.885173
-161.0,161,111.514283
-86.0,86,111.759763
-117.0,117,112.137839
-116.0,116,112.460814
-85.0,85,112.746808
-116.0,116,113.339407
-112.0,112,113.660517
-115.0,115,113.985587
-117.0,117,114.320157
-154.0,154,114.875254
-114.0,114,115.512938
-112.0,112,115.91148
-115.0,115,116.320887
-89.0,89,116.605531
-116.0,116,116.967165
-111.0,111,117.5163
-116.0,116,117.83262
-112.0,112,118.151159
-111.0,111,118.475792
-86.0,86,118.791574
-92.0,92,119.130772
-111.0,111,119.685227
-111.0,111,120.237166
-85.0,85,120.641575
-89.0,89,121.029264
-112.0,112,121.432637
-167.0,167,121.986305
-114.0,114,122.503269
-113.0,113,122.802609
-176.0,176,123.358076
-112.0,112,123.685391
-158.0,158,124.18954
-155.0,155,124.958101
-155.0,155,125.469562
-115.0,115,125.813596
-114.0,114,126.199388
-111.0,111,126.755738
-151.0,151,127.172596
-113.0,113,127.496766
-88.0,88,127.778682
-111.0,111,128.119696
-113.0,113,128.485397
-162.0,162,129.277257
-85.0,85,129.589636
-84.0,84,129.876095
-115.0,115,130.213897
-85.0,85,130.470588
-112.0,112,130.823684
-110.0,110,131.488423
-154.0,154,132.042418
-162.0,162,132.507111
-159.0,159,132.963956
-113.0,113,133.598176
-165.0,165,134.171036
-146.0,146,134.655496
-155.0,155,135.142667
-110.0,110,135.670145
-84.0,84,135.93573
-153.0,153,136.46973
-113.0,113,136.865232
-113.0,113,137.193327
-115.0,115,137.529068
-115.0,115,138.086947
-90.0,90,138.407844
-115.0,115,138.758111
-117.0,117,139.137444
-116.0,116,139.467134
-116.0,116,140.098157
-90.0,90,140.357987
-119.0,119,140.747956
-118.0,118,141.068822
-88.0,88,141.345881
-116.0,116,141.670605
-91.0,91,142.142206
-157.0,157,142.564971
-118.0,118,142.966377
-86.0,86,143.223645
-116.0,116,143.555869
-115.0,115,143.928591
-111.0,111,144.470258
-87.0,87,144.726728
-91.0,91,145.038973
-115.0,115,145.419391
-111.0,111,145.880845
-117.0,117,146.250023
-153.0,153,146.973994
-156.0,156,147.403615
-87.0,87,147.685962
-90.0,90,147.925672
-117.0,117,148.302324
-157.0,157,148.961589
-163.0,163,149.45945
-156.0,156,149.997419
-114.0,114,150.337819
-87.0,87,150.794443
-113.0,113,151.1213
-89.0,89,151.422572
-84.0,84,151.655181
-149.0,149,152.068249
-114.0,114,152.397075
-154.0,154,153.19872
-111.0,111,153.495631
-114.0,114,153.791557
-166.0,166,154.284104
-84.0,84,154.562251
-116.0,116,155.127035
-111.0,111,155.482707
-112.0,112,155.854367
-112.0,112,156.216747
-97.0,97,156.580808
-112.0,112,157.017936
-83.0,83,157.51608
-113.0,113,157.857686
-116.0,116,158.194292
-115.0,115,158.561651
-149.0,149,159.044962
-148.0,148,159.703455
-113.0,113,160.100366
-151.0,151,160.706297
-165.0,165,161.283508
-152.0,152,161.94591
-113.0,113,162.280473
-112.0,112,162.604211
-112.0,112,162.923204
-110.0,110,163.20603
-112.0,112,163.524417
-111.0,111,164.07542
-112.0,112,164.419717
-113.0,113,164.766171
-112.0,112,165.117975
-163.0,163,165.652915
-151.0,151,166.327003
-112.0,112,166.679457
-114.0,114,167.023436
-111.0,111,167.343441
-156.0,156,167.806396
-149.0,149,168.45737
-111.0,111,168.834321
-114.0,114,169.238489
-111.0,111,169.643488
-111.0,111,169.981184
-111.0,111,170.514641
-110.0,110,170.849051
-111.0,111,171.177824
-112.0,112,171.51106
-112.0,112,171.867941
-158.0,158,172.572972
-111.0,111,172.913328
-113.0,113,173.245227
-107.0,107,173.525452
-111.0,111,173.847785
-113.0,113,174.177522
-113.0,113,174.775894
-111.0,111,175.130956
-114.0,114,175.586739
-111.0,111,175.966446
-110.0,110,176.292623
-112.0,112,176.86554
-113.0,113,177.204095
-114.0,114,177.564388
-112.0,112,177.859453
-110.0,110,178.119595
-164.0,164,178.574015
-151.0,151,179.24916
-151.0,151,179.777218
-144.0,144,180.276574
-144.0,144,180.783453
-114.0,114,181.356678
-152.0,152,181.779562
-109.0,109,182.077161
-111.0,111,182.383023
-111.0,111,182.693046
-112.0,112,183.226628
-111.0,111,183.575793
-111.0,111,183.916668
-112.0,112,184.25947
-111.0,111,184.597368
-111.0,111,184.983914
-112.0,112,185.525913
-111.0,111,185.850154
-110.0,110,186.14996
-110.0,110,186.523278
-109.0,109,186.862435
-114.0,114,187.438377
-113.0,113,187.795093
-110.0,110,188.153131
-110.0,110,188.506058
-88.0,88,188.792051
-116.0,116,189.152143
-110.0,110,189.735879
-176.0,176,190.329538
-109.0,109,190.690783
-156.0,156,191.136211
-86.0,86,191.42529
-89.0,89,191.861672
-85.0,85,192.11705
-112.0,112,192.434716
-114.0,114,192.759864
-112.0,112,193.073672
-155.0,155,193.519216
-156.0,156,194.196431
-115.0,115,194.562361
-150.0,150,195.066627
-163.0,163,195.691362
-113.0,113,196.32467
-165.0,165,196.90678
-113.0,113,197.23885
-112.0,112,197.552667
-114.0,114,197.864124
-165.0,165,198.525569
-85.0,85,198.747233
-85.0,85,198.972517
-149.0,149,199.432233
-114.0,114,199.785716
-84.0,84,200.049352
-152.0,152,200.744373
-154.0,154,201.210341
-117.0,117,201.603603
-176.0,176,202.123455
-115.0,115,202.652246
-89.0,89,202.879002
-89.0,89,203.134924
-116.0,116,203.450304
-115.0,115,203.757089
-112.0,112,204.072038
-86.0,86,204.564697
-154.0,154,204.989498
-114.0,114,205.313876
-113.0,113,205.642452
-115.0,115,206.001876
-110.0,110,206.492313
-114.0,114,206.826978
-87.0,87,207.048515
