#{"t_start": 1738536910.0226307, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,3.116503
-169.0,169,3.641582
-174.0,174,4.142691
-156.0,156,4.878522
-200.0,200,5.494459
-175.0,175,6.017028
-175.0,175,6.585666
-164.0,164,7.370623
-187.0,187,7.91472
-163.0,163,8.405402
-147.0,147,9.078232
-157.0,157,9.521932
-153.0,153,9.937116
-157.0,157,10.42485
-151.0,151,11.111466
-157.0,157,11.601243
-91.0,91,11.880496
-164.0,164,12.356532
-159.0,159,12.807659
-154.0,154,13.541649
-156.0,156,14.005464
-104.0,104,14.342756
-156.0,156,14.885503
-152.0,152,15.554343
-158.0,158,16.005733
-157.0,157,16.457105
-93.0,93,16.71914
-103.0,103,16.984112
-155.0,155,17.624428
-160.0,160,18.091541
-152.0,152,18.501554
-156.0,156,18.947393
-152.0,152,19.671929
-161.0,161,20.18737
-87.0,87,20.493606
-162.0,162,21.013805
-154.0,154,21.719085
-154.0,154,22.187695
-104.0,104,22.501949
-117.0,117,22.837416
-101.0,101,23.171421
-86.0,86,23.425848
-95.0,95,23.955406
-174.0,174,24.533897
-153.0,153,25.021335
-92.0,92,25.385643
-152.0,152,26.100472
-150.0,150,26.539138
-148.0,148,26.977909
-87.0,87,27.244729
-154.0,154,27.660913
-88.0,88,28.125551
-166.0,166,28.5877
-92.0,92,28.896342
-156.0,156,29.482733
-151.0,151,29.883676
-157.0,157,30.624567
-159.0,159,31.120629
-84.0,84,31.376673
-91.0,91,31.673653
-148.0,148,32.127278
-90.0,90,32.741796
-150.0,150,33.220456
-148.0,148,33.668344
-149.0,149,34.150263
-150.0,150,34.972497
-147.0,147,35.456208
-144.0,144,35.970538
-148.0,148,36.43978
-161.0,161,37.169671
-163.0,163,37.700142
-146.0,146,38.129512
-150.0,150,38.579805
-150.0,150,39.285653
-153.0,153,39.735019
-147.0,147,40.24075
-150.0,150,40.780131
-139.0,139,41.227592
-154.0,154,41.995617
-146.0,146,42.42948
-148.0,148,42.86059
-145.0,145,43.330353
-85.0,85,43.846313
-157.0,157,44.366966
-155.0,155,44.842726
-151.0,151,45.355805
-111.0,111,45.705218
-148.0,148,46.428615
-115.0,115,46.78367
-157.0,157,47.266628
-148.0,148,47.694756
-112.0,112,48.314294
-142.0,142,48.810772
-86.0,86,49.091692
-110.0,110,49.509493
-145.0,145,50.004832
-145.0,145,50.744073
-85.0,85,51.073869
-154.0,154,51.59671
-149.0,149,52.112008
-112.0,112,52.471113
-153.0,153,53.21957
-141.0,141,53.68038
-142.0,142,54.135104
