#{"t_start": 1738536910.0219748, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,3.117098
-200.0,200,3.706027
-157.0,157,4.188478
-200.0,200,5.06828
-184.0,184,5.596523
-132.0,132,6.016446
-151.0,151,6.498696
-157.0,157,7.271608
-90.0,90,7.524073
-93.0,93,7.814314
-157.0,157,8.284589
-158.0,158,8.975979
-174.0,174,9.477531
-170.0,170,9.940561
-150.0,150,10.421216
-88.0,88,10.681216
-152.0,152,11.402851
-87.0,87,11.648326
-159.0,159,12.120476
-157.0,157,12.579108
-91.0,91,12.846301
-164.0,164,13.589812
-152.0,152,14.020334
-88.0,88,14.340524
-184.0,184,14.961239
-149.0,149,15.633226
-92.0,92,15.875951
-98.0,98,16.177409
-154.0,154,16.591632
-100.0,100,16.861904
-181.0,181,17.579812
-90.0,90,17.843738
-106.0,106,18.135966
-185.0,185,18.669146
-154.0,154,19.339031
-154.0,154,19.820194
-156.0,156,20.364399
-88.0,88,20.664981
-156.0,156,21.164318
-163.0,163,21.850307
-99.0,99,22.149796
-154.0,154,22.646025
-152.0,152,23.072129
-149.0,149,23.805939
-161.0,161,24.303952
-96.0,96,24.629732
-85.0,85,24.909729
-89.0,89,25.242226
-150.0,150,25.743941
-91.0,91,26.245863
-87.0,87,26.494351
-152.0,152,26.968457
-151.0,151,27.38563
-160.0,160,27.839731
-101.0,101,28.31616
-86.0,86,28.580992
-102.0,102,28.899231
-153.0,153,29.482322
-159.0,159,29.925026
-86.0,86,30.42471
-149.0,149,30.875404
-86.0,86,31.173583
-152.0,152,31.627518
-152.0,152,32.120891
-146.0,146,32.913006
-148.0,148,33.37554
-165.0,165,33.857575
-144.0,144,34.343708
-87.0,87,34.969203
-147.0,147,35.452903
-150.0,150,35.974352
-148.0,148,36.476603
-146.0,146,37.113538
-148.0,148,37.61135
-151.0,151,38.039137
-161.0,161,38.534788
-142.0,142,38.94405
-141.0,141,39.63605
-144.0,144,40.12557
-149.0,149,40.637825
-152.0,152,41.171458
-141.0,141,41.893933
-144.0,144,42.332283
-150.0,150,42.760058
-142.0,142,43.22431
-109.0,109,43.798327
-150.0,150,44.272015
-110.0,110,44.631388
-144.0,144,45.102325
-142.0,142,45.557837
-110.0,110,46.163889
-111.0,111,46.535379
-164.0,164,47.023787
-110.0,110,47.366618
-145.0,145,47.786312
-155.0,155,48.592922
-143.0,143,49.078977
-147.0,147,49.630438
-166.0,166,50.155882
-109.0,109,50.796336
-161.0,161,51.382237
-157.0,157,51.90229
-148.0,148,52.38089
-162.0,162,53.1651
-144.0,144,53.637749
-155.0,155,54.135642
-143.0,143,54.606402
-148.0,148,55.325881
-144.0,144,55.767594
-113.0,113,56.195084
-145.0,145,56.690025
-145.0,145,57.164687
-145.0,145,58.193772
-148.0,148,58.931235
-153.0,153,59.686239
-149.0,149,60.438804
-109.0,109,61.330654
-151.0,151,62.201772
-110.0,110,62.734742
-158.0,158,63.417201
-115.0,115,63.986497
-114.0,114,64.954458
-113.0,113,65.575703
-114.0,114,66.174148
-112.0,112,66.68222
-110.0,110,67.24035
-115.0,115,67.811339
-114.0,114,68.785284
-159.0,159,69.550436
-107.0,107,70.089125
-110.0,110,70.703239
-113.0,113,71.228153
-115.0,115,72.042725
-112.0,112,72.576046
-113.0,113,73.074883
-112.0,112,73.589657
-113.0,113,74.201492
-166.0,166,75.634776
-115.0,115,76.303329
-115.0,115,76.909333
-162.0,162,77.714761
-113.0,113,78.247522
-152.0,152,79.334554
-110.0,110,79.902622
-112.0,112,80.438804
-114.0,114,80.982649
-83.0,83,81.454542
-158.0,158,82.491329
-115.0,115,82.953058
-114.0,114,83.466834
-112.0,112,83.984833
-112.0,112,84.517493
-114.0,114,85.080264
-113.0,113,86.045468
-113.0,113,86.573702
-111.0,111,87.046006
-113.0,113,87.497046
-111.0,111,87.953593
-113.0,113,88.796257
-111.0,111,89.345317
-170.0,170,90.235004
-116.0,116,90.840485
-116.0,116,91.396815
-113.0,113,92.274436
-116.0,116,92.744425
-85.0,85,93.14973
-113.0,113,93.690522
-144.0,144,94.424912
-89.0,89,94.87607
-111.0,111,95.782227
-112.0,112,96.314216
-115.0,115,96.880446
-151.0,151,97.47444
-87.0,87,97.800187
-168.0,168,98.899749
-84.0,84,99.303165
-84.0,84,99.699084
-110.0,110,100.293145
-113.0,113,100.906029
-176.0,176,102.064371
-144.0,144,102.702962
-110.0,110,103.197136
-167.0,167,104.096065
-113.0,113,104.653353
-110.0,110,105.628683
-148.0,148,106.359005
-142.0,142,107.025177
-149.0,149,107.633605
-112.0,112,108.143509
-113.0,113,108.676569
-113.0,113,108.968902
-110.0,110,109.267456
-175.0,175,109.848428
-115.0,115,110.244761
-115.0,115,110.940587
-115.0,115,111.455405
-117.0,117,111.80161
-169.0,169,112.276754
-115.0,115,112.673701
-112.0,112,113.246436
-113.0,113,113.570393
-115.0,115,113.892676
-91.0,91,114.170043
-89.0,89,114.41986
-85.0,85,114.665116
-113.0,113,115.325468
-177.0,177,116.027178
-84.0,84,116.31641
-112.0,112,116.656442
-111.0,111,117.023445
-115.0,115,117.563412
-115.0,115,117.87994
-155.0,155,118.331949
-87.0,87,118.59008
-90.0,90,118.950287
-111.0,111,119.334611
-111.0,111,119.926476
-112.0,112,120.538173
-112.0,112,121.026505
-170.0,170,121.605942
-111.0,111,121.986057
-83.0,83,122.40593
-87.0,87,122.665052
-85.0,85,122.883133
-161.0,161,123.402066
-85.0,85,123.672433
-83.0,83,123.910841
-154.0,154,124.675264
-86.0,86,124.953867
-152.0,152,125.426872
-85.0,85,125.711373
-112.0,112,126.060339
-114.0,114,126.460473
-91.0,91,126.897713
-156.0,156,127.355229
-155.0,155,127.822891
-116.0,116,128.167411
-111.0,111,128.540687
-113.0,113,129.160938
-114.0,114,129.586121
-162.0,162,130.073425
-110.0,110,130.420488
-110.0,110,130.763872
-173.0,173,131.668616
-152.0,152,132.147008
-114.0,114,132.50307
-113.0,113,132.832852
-147.0,147,133.520007
-85.0,85,133.823035
-163.0,163,134.412228
-147.0,147,134.8545
-112.0,112,135.199007
-111.0,111,135.726104
-110.0,110,136.094409
-114.0,114,136.482973
-114.0,114,136.916329
-111.0,111,137.20394
-85.0,85,137.481399
-113.0,113,138.030689
-116.0,116,138.41364
-116.0,116,138.764276
-115.0,115,139.171474
-93.0,93,139.413146
-112.0,112,139.775495
-112.0,112,140.357774
-115.0,115,140.743543
-118.0,118,141.06473
-112.0,112,141.392625
-90.0,90,141.664822
-86.0,86,141.899623
-85.0,85,142.335126
-117.0,117,142.69156
-117.0,117,143.059184
-84.0,84,143.312986
-90.0,90,143.59166
-112.0,112,143.930278
-84.0,84,144.381245
-87.0,87,144.637323
-111.0,111,144.988202
-117.0,117,145.41598
-117.0,117,145.884034
-87.0,87,146.153675
-117.0,117,146.788321
-87.0,87,147.028029
-115.0,115,147.355914
-87.0,87,147.638097
-114.0,114,147.963615
-111.0,111,148.303191
