#{"t_start": 1738536910.0201035, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,3.118799
-200.0,200,3.707734
-200.0,200,4.342068
-191.0,191,5.169185
-200.0,200,5.741258
-151.0,151,6.240931
-136.0,136,6.90751
-154.0,154,7.423067
-156.0,156,7.906099
-155.0,155,8.333646
-149.0,149,9.034061
-146.0,146,9.432149
-159.0,159,9.889506
-89.0,89,10.134093
-154.0,154,10.627657
-96.0,96,11.155626
-164.0,164,11.650049
-167.0,167,12.162121
-153.0,153,12.584535
-154.0,154,13.302727
-158.0,158,13.773785
-155.0,155,14.232093
-91.0,91,14.583962
-93.0,93,14.889929
-161.0,161,15.595207
-87.0,87,15.831687
-90.0,90,16.09484
-153.0,153,16.540337
-157.0,157,16.947626
-89.0,89,17.414876
-156.0,156,17.882578
-87.0,87,18.097682
-91.0,91,18.352999
-96.0,96,18.629895
-151.0,151,19.048479
-156.0,156,19.776005
-164.0,164,20.317011
-155.0,155,20.874674
-101.0,101,21.173059
-89.0,89,21.67179
-160.0,160,22.145525
-155.0,155,22.642398
-150.0,150,23.067051
-162.0,162,23.813662
-151.0,151,24.26721
-152.0,152,24.80062
-145.0,145,25.337388
-90.0,90,25.635801
-153.0,153,26.304446
-154.0,154,26.786923
-99.0,99,27.068303
-93.0,93,27.339626
-155.0,155,27.789453
-151.0,151,28.404583
-86.0,86,28.64313
-149.0,149,29.212237
-101.0,101,29.535382
-154.0,154,29.975243
-88.0,88,30.476249
-92.0,92,30.773602
-152.0,152,31.234046
-149.0,149,31.721214
-145.0,145,32.174154
-148.0,148,32.971816
-153.0,153,33.460956
-154.0,154,33.902477
-153.0,153,34.448904
-159.0,159,35.293941
-146.0,146,35.786149
-148.0,148,36.297845
-149.0,149,36.711259
-154.0,154,37.466118
-157.0,157,37.936417
-143.0,143,38.389315
-142.0,142,38.798622
-151.0,151,39.493065
-149.0,149,39.957326
-154.0,154,40.516608
-143.0,143,41.021484
-157.0,157,41.799202
-143.0,143,42.232283
-151.0,151,42.673831
-159.0,159,43.172762
-110.0,110,43.514657
-149.0,149,44.222115
-152.0,152,44.73531
-85.0,85,45.003878
-156.0,156,45.507312
