#{"t_start": 1738536910.0229485, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,3.116214
-200.0,200,3.70512
-200.0,200,4.33971
-162.0,162,5.072554
-156.0,156,5.543184
-119.0,119,5.879503
-179.0,179,6.458031
-140.0,140,7.169445
-170.0,170,7.711865
-97.0,97,8.007633
-161.0,161,8.452637
-154.0,154,9.161609
-147.0,147,9.568455
-151.0,151,9.980939
-85.0,85,10.26446
-158.0,158,10.733167
-151.0,151,11.45266
-93.0,93,11.733777
-158.0,158,12.204852
-169.0,169,12.670317
-157.0,157,13.397173
-156.0,156,13.861941
-157.0,157,14.350641
-169.0,169,14.954205
-160.0,160,15.636946
-87.0,87,15.875093
-89.0,89,16.139003
-150.0,150,16.549496
-88.0,88,16.808202
-87.0,87,17.031201
-176.0,176,17.731862
-92.0,92,18.010488
-89.0,89,18.260168
-154.0,154,18.678728
-97.0,97,18.950073
-156.0,156,19.678875
-165.0,165,20.199371
-93.0,93,20.55057
-155.0,155,21.062056
-156.0,156,21.759114
-179.0,179,22.293843
-154.0,154,22.74648
-101.0,101,23.062353
-153.0,153,23.766776
-152.0,152,24.25482
-94.0,94,24.579484
-167.0,167,25.119425
-151.0,151,25.684552
-91.0,91,26.159473
-89.0,89,26.443379
-151.0,151,26.885069
-93.0,93,27.159106
-160.0,160,27.611391
-152.0,152,28.258579
-152.0,152,28.691401
-159.0,159,29.272946
-157.0,157,29.74855
-98.0,98,30.279271
-150.0,150,30.729272
-92.0,92,31.022091
-148.0,148,31.48164
-92.0,92,31.77307
-88.0,88,32.061645
-147.0,147,32.856669
-164.0,164,33.374675
-151.0,151,33.812576
-111.0,111,34.162731
-146.0,146,35.011664
-90.0,90,35.299031
-84.0,84,35.559384
-87.0,87,35.89415
-87.0,87,36.197534
-156.0,156,36.659353
-89.0,89,37.173051
-146.0,146,37.653339
-154.0,154,38.083197
-148.0,148,38.569702
-146.0,146,38.981268
-111.0,111,39.579324
-164.0,164,40.12019
-155.0,155,40.675359
-140.0,140,41.125519
-150.0,150,41.891732
-110.0,110,42.228496
-148.0,148,42.667241
-144.0,144,43.111624
-114.0,114,43.46445
-140.0,140,44.158374
-153.0,153,44.633306
-157.0,157,45.155404
-143.0,143,45.607772
-138.0,138,46.320454
-152.0,152,46.784372
-150.0,150,47.260588
-109.0,109,47.553392
-158.0,158,48.315148
-146.0,146,48.81591
-112.0,112,49.210205
-85.0,85,49.561732
-162.0,162,50.098411
-113.0,113,50.733776
-147.0,147,51.26465
-111.0,111,51.660977
-110.0,110,52.010986
-143.0,143,52.472751
-150.0,150,53.218215
-150.0,150,53.719727
-147.0,147,54.19893
-110.0,110,54.551325
-143.0,143,54.992443
-142.0,142,55.671719
-140.0,140,56.194288
-110.0,110,56.583926
-138.0,138,57.052726
-147.0,147,58.035301
-148.0,148,58.704909
-149.0,149,59.435439
-110.0,110,60.033404
-110.0,110,60.589967
-109.0,109,61.486196
-113.0,113,62.12215
-110.0,110,62.666386
-110.0,110,63.181821
-87.0,87,63.557339
-169.0,169,64.385204
-170.0,170,65.673668
-114.0,114,66.311871
-111.0,111,66.766954
-111.0,111,67.33394
-115.0,115,67.995708
-114.0,114,68.929494
-166.0,166,69.70364
-152.0,152,70.522201
-115.0,115,71.082361
-114.0,114,71.902765
-114.0,114,72.433795
-107.0,107,72.928652
-112.0,112,73.427014
-111.0,111,74.005417
-110.0,110,74.647654
-151.0,151,75.956535
-115.0,115,76.563962
-110.0,110,77.205002
-110.0,110,77.713895
-153.0,153,78.404212
-114.0,114,79.391622
-113.0,113,79.963377
-156.0,156,80.673523
-86.0,86,81.123852
-112.0,112,81.688444
-152.0,152,82.636085
-114.0,114,83.112932
-114.0,114,83.677215
-83.0,83,84.057314
-165.0,165,84.844442
-168.0,168,86.108376
-85.0,85,86.49533
-114.0,114,86.97772
-86.0,86,87.310613
-113.0,113,87.756457
-116.0,116,88.3077
-158.0,158,89.410188
-116.0,116,89.994959
-116.0,116,90.561362
-158.0,158,91.389932
-83.0,83,91.806993
-83.0,83,92.473857
-114.0,114,92.939532
-86.0,86,93.378455
-113.0,113,93.942442
-114.0,114,94.513894
-111.0,111,95.100754
-90.0,90,95.915251
-90.0,90,96.308887
-86.0,86,96.74669
-85.0,85,97.08515
-116.0,116,97.539271
-87.0,87,97.905649
-157.0,157,98.910499
-117.0,117,99.520464
-90.0,90,99.956629
-112.0,112,100.532457
-111.0,111,101.143134
-113.0,113,101.704655
-147.0,147,102.637609
-84.0,84,103.030944
-110.0,110,103.584955
-144.0,144,104.336174
-150.0,150,105.433358
-150.0,150,106.214679
-147.0,147,106.949831
-110.0,110,107.379499
-155.0,155,108.082219
-165.0,165,108.76321
-111.0,111,109.056419
-111.0,111,109.358146
-111.0,111,109.755481
-163.0,163,110.325954
-110.0,110,110.987298
-114.0,114,111.468404
-113.0,113,111.810312
-114.0,114,112.177128
-157.0,157,112.618392
-85.0,85,113.152977
-117.0,117,113.483008
-114.0,114,113.805266
-167.0,167,114.311361
-114.0,114,114.651902
-84.0,84,115.193219
-117.0,117,115.62319
-117.0,117,116.095035
-112.0,112,116.46017
-111.0,111,116.799231
-114.0,114,117.168548
-113.0,113,117.695378
-166.0,166,118.150972
-116.0,116,118.481179
-111.0,111,118.899213
-111.0,111,119.29394
-114.0,114,119.870226
-111.0,111,120.476619
-115.0,115,120.979939
-114.0,114,121.426516
-172.0,172,121.986227
-111.0,111,122.500081
-90.0,90,122.750538
-85.0,85,122.980829
-112.0,112,123.353065
-117.0,117,123.716199
-114.0,114,124.077756
-111.0,111,124.710384
-115.0,115,125.067679
-150.0,150,125.523836
-148.0,148,125.975197
-162.0,162,126.748047
-111.0,111,127.034877
-115.0,115,127.392761
-87.0,87,127.626407
-111.0,111,127.96153
-115.0,115,128.317994
-114.0,114,128.935972
-89.0,89,129.272753
-111.0,111,129.673461
-88.0,88,129.931273
-170.0,170,130.466383
-148.0,148,131.188673
-148.0,148,131.75166
-83.0,83,132.041234
-147.0,147,132.463654
-111.0,111,132.78957
-152.0,152,133.474335
-110.0,110,133.874936
-114.0,114,134.275357
-153.0,153,134.793551
-149.0,149,135.241175
-169.0,169,135.978551
-112.0,112,136.348872
-84.0,84,136.639031
-111.0,111,137.011877
-84.0,84,137.244005
-148.0,148,137.872812
-113.0,113,138.251135
-112.0,112,138.627884
-114.0,114,138.98871
-114.0,114,139.349786
-114.0,114,139.72382
-116.0,116,140.300351
-117.0,117,140.664443
-92.0,92,140.934562
-166.0,166,141.429879
-113.0,113,141.756057
-86.0,86,142.193084
-112.0,112,142.512716
-111.0,111,142.846263
-89.0,89,143.112262
-87.0,87,143.403785
-155.0,155,143.88115
-117.0,117,144.428119
-89.0,89,144.685432
-164.0,164,145.263469
-92.0,92,145.584488
-92.0,92,145.947012
-112.0,112,146.500259
-86.0,86,146.831811
-148.0,148,147.253621
-112.0,112,147.591828
-88.0,88,147.830345
-111.0,111,148.157607
-113.0,113,148.683856
-153.0,153,149.164473
-160.0,160,149.68533
-147.0,147,150.151739
-85.0,85,150.396907
-87.0,87,150.888217
-153.0,153,151.337565
-162.0,162,151.827582
-112.0,112,152.148048
-111.0,111,152.451562
-83.0,83,153.011549
-113.0,113,153.365607
-157.0,157,153.781786
-85.0,85,154.03266
-111.0,111,154.367429
-113.0,113,154.71385
-86.0,86,155.177669
-113.0,113,155.545816
-115.0,115,155.911001
-111.0,111,156.292394
-113.0,113,156.709445
-115.0,115,157.395575
-161.0,161,157.89926
-84.0,84,158.137676
-115.0,115,158.473638
-112.0,112,158.830653
-111.0,111,159.183952
-150.0,150,159.862563
-113.0,113,160.317893
-112.0,112,160.749941
-148.0,148,161.278374
-88.0,88,161.529552
-110.0,110,162.04851
-152.0,152,162.513226
-149.0,149,162.927421
-110.0,110,163.241335
-111.0,111,163.559049
-113.0,113,164.114418
-112.0,112,164.467653
-110.0,110,164.802476
-112.0,112,165.152931
-110.0,110,165.488232
-85.0,85,165.770746
-110.0,110,166.321122
-114.0,114,166.675373
-111.0,111,167.016853
-152.0,152,167.437357
-111.0,111,167.757766
-112.0,112,168.30877
-111.0,111,168.656894
-173.0,173,169.290262
-84.0,84,169.595753
-112.0,112,169.930549
-110.0,110,170.466991
-112.0,112,170.802594
-85.0,85,171.04476
-110.0,110,171.371541
-115.0,115,171.752859
-114.0,114,172.105491
-169.0,169,172.826483
-114.0,114,173.156056
-112.0,112,173.479773
-113.0,113,173.800149
-115.0,115,174.163255
-113.0,113,174.714123
-112.0,112,175.117557
-110.0,110,175.529561
-148.0,148,176.023246
-113.0,113,176.410241
-115.0,115,176.953426
-152.0,152,177.429855
-111.0,111,177.704188
-112.0,112,177.994291
-112.0,112,178.289748
-112.0,112,178.774644
-113.0,113,179.180301
-148.0,148,179.678528
-109.0,109,180.063093
-150.0,150,180.573483
-111.0,111,181.17276
-162.0,162,181.642597
-110.0,110,181.94334
-109.0,109,182.246308
-112.0,112,182.556084
-113.0,113,182.865595
-110.0,110,183.42385
-110.0,110,183.765934
-110.0,110,184.07772
-112.0,112,184.414631
-110.0,110,184.77872
-112.0,112,185.346462
-109.0,109,185.67015
-111.0,111,185.995163
-111.0,111,186.347585
-109.0,109,186.705973
-111.0,111,187.055851
-110.0,110,187.63172
-111.0,111,187.991005
-172.0,172,188.507557
-114.0,114,188.85013
-83.0,83,189.146944
-113.0,113,189.733584
-84.0,84,190.007078
-112.0,112,190.385219
-85.0,85,190.650556
-84.0,84,190.896858
