#{"t_start": 1738536910.0209875, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,3.117989
-178.0,178,3.652115
-162.0,162,4.141154
-164.0,164,4.885117
-191.0,191,5.461576
-153.0,153,5.922786
-161.0,161,6.453353
-160.0,160,7.226407
-144.0,144,7.669571
-155.0,155,8.151313
-100.0,100,8.411616
-90.0,90,8.662113
-160.0,160,9.380101
-160.0,160,9.840799
-87.0,87,10.076413
-144.0,144,10.527144
-170.0,170,11.300629
-159.0,159,11.78123
-158.0,158,12.221882
-158.0,158,12.675744
-163.0,163,13.443324
-95.0,95,13.691556
-170.0,170,14.225827
-161.0,161,14.795058
-93.0,93,15.113258
-170.0,170,15.818673
-88.0,88,16.051774
-149.0,149,16.465981
-159.0,159,16.902476
-158.0,158,17.541792
-154.0,154,18.008736
-87.0,87,18.22784
-156.0,156,18.676781
-93.0,93,18.943808
-164.0,164,19.680667
-155.0,155,20.19014
-110.0,110,20.600522
-153.0,153,21.069225
-87.0,87,21.344864
-155.0,155,22.003874
-101.0,101,22.344427
-89.0,89,22.604041
-87.0,87,22.873944
-150.0,150,23.332079
-151.0,151,24.015946
-159.0,159,24.54418
-155.0,155,25.066883
-151.0,151,25.632821
-157.0,157,26.305534
-156.0,156,26.789798
-151.0,151,27.243565
-151.0,151,27.657125
-150.0,150,28.271383
-87.0,87,28.536737
-89.0,89,28.800044
-168.0,168,29.439922
-85.0,85,29.666915
-154.0,154,30.370187
-158.0,158,30.866528
-151.0,151,31.327316
-162.0,162,31.824864
-159.0,159,32.636961
-150.0,150,33.158313
-155.0,155,33.618557
-111.0,111,33.948586
-89.0,89,34.273676
-153.0,153,35.072883
-84.0,84,35.394326
-148.0,148,35.89496
-85.0,85,36.196187
-144.0,144,36.618508
-161.0,161,37.363179
-149.0,149,37.806673
-151.0,151,38.289776
-165.0,165,38.761883
-156.0,156,39.491194
-162.0,162,40.011613
-145.0,145,40.518979
-164.0,164,41.077887
-167.0,167,41.895864
-153.0,153,42.342351
-145.0,145,42.765585
-159.0,159,43.280848
-144.0,144,43.964496
-149.0,149,44.474434
-147.0,147,44.946135
-146.0,146,45.410521
-142.0,142,46.110857
-150.0,150,46.592897
-145.0,145,47.029292
-146.0,146,47.46689
-143.0,143,47.892751
-112.0,112,48.549171
-116.0,116,48.970193
-168.0,168,49.572038
-140.0,140,50.049873
-158.0,158,50.84765
-87.0,87,51.14595
-154.0,154,51.711402
-156.0,156,52.227135
-142.0,142,52.638021
-143.0,143,53.400842
-140.0,140,53.823801
-145.0,145,54.314652
-146.0,146,54.767274
-146.0,146,55.480662
-142.0,142,55.940449
-145.0,145,56.490728
-158.0,158,57.013907
-143.0,143,57.969087
-145.0,145,58.63613
-139.0,139,59.349592
-110.0,110,59.943072
-149.0,149,60.673546
-109.0,109,61.571059
-86.0,86,62.050519
-149.0,149,62.810947
-110.0,110,63.322543
-114.0,114,63.839489
-110.0,110,64.37925
-110.0,110,65.327991
-113.0,113,65.927912
-113.0,113,66.529889
-155.0,155,67.250763
-109.0,109,67.8122
-113.0,113,68.784648
-111.0,111,69.321854
-153.0,153,70.085462
-110.0,110,70.645796
-113.0,113,71.224194
-115.0,115,72.039184
-114.0,114,72.575804
-162.0,162,73.290508
-110.0,110,73.857812
-110.0,110,74.466402
-106.0,106,75.548636
-157.0,157,76.40007
-110.0,110,77.031961
-112.0,112,77.577391
-114.0,114,78.107536
-159.0,159,79.250576
-84.0,84,79.641295
-115.0,115,80.270479
-151.0,151,80.971846
-166.0,166,81.771499
-85.0,85,82.495383
-113.0,113,82.953937
-113.0,113,83.466245
-83.0,83,83.839444
-113.0,113,84.367395
-114.0,114,84.927509
-111.0,111,85.891664
-114.0,114,86.431769
-84.0,84,86.7905
-115.0,115,87.297516
-113.0,113,87.743137
-115.0,115,88.238676
-86.0,86,88.94778
-91.0,91,89.422755
-112.0,112,90.001423
-113.0,113,90.563136
-111.0,111,91.153388
-112.0,112,91.714613
-115.0,115,92.538605
-85.0,85,92.877414
-111.0,111,93.394668
-114.0,114,94.016918
-116.0,116,94.596845
-117.0,117,95.547871
-84.0,84,95.937861
-84.0,84,96.376166
-115.0,115,96.88762
-111.0,111,97.343403
-112.0,112,97.78604
-163.0,163,98.820222
-83.0,83,99.221724
-113.0,113,99.784019
-152.0,152,100.599974
-167.0,167,101.469151
-84.0,84,102.134332
-114.0,114,102.639414
-110.0,110,103.124511
-143.0,143,103.834865
-111.0,111,104.43049
-113.0,113,104.993237
-113.0,113,105.974128
-110.0,110,106.528949
-149.0,149,107.231473
-112.0,112,107.689236
-115.0,115,108.187398
-113.0,113,108.714204
-113.0,113,109.007964
-154.0,154,109.422454
-163.0,163,109.991703
-111.0,111,110.451683
-112.0,112,111.115722
-85.0,85,111.462399
-86.0,86,111.709419
-114.0,114,112.057418
-117.0,117,112.406396
-117.0,117,112.810423
-115.0,115,113.349676
-114.0,114,113.671991
-115.0,115,114.029799
-115.0,115,114.3631
-86.0,86,114.611137
-116.0,116,115.252353
-86.0,86,115.614636
-115.0,115,116.03476
-112.0,112,116.419691
-88.0,88,116.667058
-85.0,85,116.965796
-162.0,162,117.654139
-154.0,154,118.068354
-83.0,83,118.330472
-151.0,151,118.85021
-115.0,115,119.248824
-155.0,155,120.028571
-117.0,117,120.642138
-115.0,115,121.100916
-84.0,84,121.431116
-115.0,115,121.821989
-116.0,116,122.358413
-83.0,83,122.587776
-148.0,148,123.040299
-111.0,111,123.391814
-148.0,148,123.812921
-151.0,151,124.578088
-156.0,156,125.072648
-148.0,148,125.526731
-155.0,155,126.017609
-152.0,152,126.716053
-111.0,111,127.034937
-113.0,113,127.359861
-83.0,83,127.621076
-114.0,114,127.958338
-86.0,86,128.214898
-113.0,113,128.825016
-114.0,114,129.223804
-113.0,113,129.636576
-115.0,115,130.015536
-112.0,112,130.360278
-110.0,110,130.66923
-146.0,146,131.480756
-155.0,155,132.003715
-110.0,110,132.31995
-112.0,112,132.644125
-85.0,85,132.888367
-111.0,111,133.477155
-161.0,161,134.05902
-110.0,110,134.464633
-110.0,110,134.799987
-158.0,158,135.288821
-111.0,111,135.829361
-111.0,111,136.182758
-114.0,114,136.590071
-114.0,114,136.971977
-84.0,84,137.203946
-111.0,111,137.535885
-116.0,116,138.130999
-89.0,89,138.415709
-117.0,117,138.767031
-112.0,112,139.142037
-89.0,89,139.409007
-89.0,89,139.721789
-115.0,115,140.2968
-87.0,87,140.571257
-112.0,112,140.892332
-113.0,113,141.203078
-113.0,113,141.530751
-90.0,90,141.811115
-116.0,116,142.336015
-114.0,114,142.654696
-116.0,116,143.056535
-112.0,112,143.401086
-87.0,87,143.642257
-85.0,85,143.893882
-114.0,114,144.438542
-115.0,115,144.81518
-112.0,112,145.213329
-149.0,149,145.741573
-154.0,154,146.291907
-168.0,168,147.028017
-111.0,111,147.352343
-111.0,111,147.688489
-113.0,113,148.015249
-111.0,111,148.366946
-88.0,88,148.784532
-113.0,113,149.160314
-111.0,111,149.470756
-83.0,83,149.789623
-147.0,147,150.245059
-114.0,114,150.793054
-163.0,163,151.284207
-153.0,153,151.742025
-84.0,84,151.971676
-149.0,149,152.395381
-89.0,89,152.955962
-115.0,115,153.329655
-112.0,112,153.621342
-111.0,111,153.938385
-112.0,112,154.277221
-111.0,111,154.612793
-83.0,83,155.081036
-115.0,115,155.436079
-115.0,115,155.813805
-84.0,84,156.098104
-84.0,84,156.40573
-160.0,160,157.018494
-115.0,115,157.61005
-114.0,114,157.956305
-114.0,114,158.288215
-111.0,111,158.620823
-111.0,111,158.997094
-112.0,112,159.570537
-150.0,150,160.090182
-168.0,168,160.713881
-148.0,148,161.242062
