#{"t_start": 1738536910.0213227, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,3.117686
-200.0,200,3.706607
-123.0,123,4.088794
-184.0,184,4.918839
-131.0,131,5.313642
-161.0,161,5.778446
-169.0,169,6.308116
-165.0,165,7.10632
-149.0,149,7.567617
-87.0,87,7.854676
-151.0,151,8.284234
-150.0,150,8.67281
-156.0,156,9.387691
-149.0,149,9.807492
-168.0,168,10.321076
-158.0,158,11.050859
-93.0,93,11.351155
-151.0,151,11.787749
-166.0,166,12.267798
-156.0,156,12.717417
-91.0,91,13.25457
-177.0,177,13.775646
-98.0,98,14.06574
-156.0,156,14.63575
-101.0,101,14.95685
-167.0,167,15.680683
-91.0,91,15.917493
-154.0,154,16.364571
-160.0,160,16.808761
-157.0,157,17.450848
-159.0,159,17.921393
-152.0,152,18.311412
-90.0,90,18.581422
-93.0,93,18.846358
-157.0,157,19.536158
-157.0,157,20.021652
-157.0,157,20.605826
-177.0,177,21.167971
-159.0,159,21.849878
-157.0,157,22.346265
-150.0,150,22.787973
-90.0,90,23.063825
-155.0,155,23.770354
-165.0,165,24.305694
-86.0,86,24.587999
-156.0,156,25.116849
-99.0,99,25.481513
-173.0,173,26.250403
-148.0,148,26.68992
-94.0,94,26.975476
-92.0,92,27.246919
-159.0,159,27.699771
-153.0,153,28.315812
-88.0,88,28.582586
-91.0,91,28.853621
-159.0,159,29.448007
-87.0,87,29.705122
-150.0,150,30.37735
-85.0,85,30.669254
-85.0,85,30.918153
-157.0,157,31.420111
-87.0,87,31.678799
-150.0,150,32.134222
-84.0,84,32.742967
-85.0,85,33.022885
-150.0,150,33.480664
-112.0,112,33.813159
-153.0,153,34.337535
-145.0,145,35.137013
-84.0,84,35.408062
-179.0,179,36.049372
-147.0,147,36.52377
-149.0,149,37.188366
-167.0,167,37.711529
-151.0,151,38.182356
-142.0,142,38.620735
-145.0,145,39.289991
-149.0,149,39.735189
-110.0,110,40.12284
-144.0,144,40.630323
-159.0,159,41.170899
-143.0,143,41.89558
-144.0,144,42.333858
-110.0,110,42.666828
-158.0,158,43.164463
-151.0,151,43.851119
-145.0,145,44.323447
-144.0,144,44.789301
-144.0,144,45.262901
-167.0,167,45.80449
-149.0,149,46.537007
-150.0,150,46.98036
-143.0,143,47.415061
-150.0,150,47.879498
-150.0,150,48.651152
-144.0,144,49.144054
-149.0,149,49.689567
-165.0,165,50.259835
-144.0,144,51.006637
-147.0,147,51.538673
-149.0,149,52.015625
-160.0,160,52.526855
-109.0,109,53.159309
-110.0,110,53.537431
-146.0,146,53.98343
-141.0,141,54.455419
-145.0,145,54.901268
-142.0,142,55.612286
-145.0,145,56.100629
-145.0,145,56.630626
-109.0,109,57.001997
-147.0,147,57.956502
-151.0,151,58.632888
-112.0,112,59.197937
-165.0,165,60.039479
-113.0,113,60.658458
-110.0,110,61.498274
-110.0,110,62.134723
-150.0,150,62.884866
-156.0,156,63.563092
-112.0,112,64.086067
-84.0,84,64.951003
-111.0,111,65.568733
-156.0,156,66.333606
-112.0,112,66.833459
-112.0,112,67.410342
-110.0,110,68.014678
-113.0,113,68.944789
-110.0,110,69.477467
-111.0,111,70.017699
-89.0,89,70.525675
-111.0,111,71.079093
-115.0,115,71.90125
-115.0,115,72.433938
-114.0,114,72.938523
-86.0,86,73.30155
-114.0,114,73.927231
-111.0,111,74.54422
-169.0,169,75.961871
-114.0,114,76.567133
-84.0,84,77.043778
-112.0,112,77.587423
-114.0,114,78.168708
-112.0,112,79.088812
-158.0,158,79.82773
-116.0,116,80.425096
-116.0,116,80.971584
-114.0,114,81.549493
-111.0,111,82.364644
-113.0,113,82.825792
-116.0,116,83.332419
-112.0,112,83.847624
-112.0,112,84.374405
-149.0,149,85.17814
-112.0,112,86.113573
-111.0,111,86.635916
-111.0,111,87.101067
-111.0,111,87.506214
-84.0,84,87.87426
-84.0,84,88.239827
-115.0,115,89.09614
-114.0,114,89.689842
-161.0,161,90.488623
-112.0,112,91.087349
-112.0,112,91.636554
-112.0,112,92.4768
-112.0,112,92.939631
-168.0,168,93.777341
-114.0,114,94.349599
-111.0,111,94.950724
-114.0,114,95.85352
-115.0,115,96.390878
-117.0,117,96.948002
-155.0,155,97.543587
-112.0,112,97.986217
-112.0,112,98.82699
-87.0,87,99.292041
-86.0,86,99.690925
-159.0,159,100.526497
-112.0,112,101.138766
-146.0,146,102.128324
-162.0,162,102.832055
-166.0,166,103.663539
-113.0,113,104.248546
-162.0,162,105.0732
-156.0,156,106.274695
-84.0,84,106.672106
-110.0,110,107.168114
-148.0,148,107.779233
-112.0,112,108.238079
-116.0,116,108.760605
-110.0,110,109.053251
-110.0,110,109.353764
-85.0,85,109.657076
-86.0,86,109.939203
-84.0,84,110.238922
-154.0,154,111.059673
-89.0,89,111.464061
-85.0,85,111.710103
-83.0,83,111.996831
-112.0,112,112.307969
-116.0,116,112.678417
-114.0,114,113.251654
-86.0,86,113.488259
-116.0,116,113.843755
-117.0,117,114.175549
-111.0,111,114.510632
-114.0,114,114.929261
-111.0,111,115.562912
-175.0,175,116.206052
-111.0,111,116.559121
-117.0,117,116.91189
-116.0,116,117.47788
-111.0,111,117.792062
-88.0,88,118.057178
-113.0,113,118.38013
-147.0,147,118.896125
-156.0,156,119.430732
-112.0,112,120.132461
-147.0,147,120.842111
-83.0,83,121.149569
-117.0,117,121.552835
-114.0,114,121.974939
-112.0,112,122.489547
-156.0,156,122.884783
-113.0,113,123.259145
-159.0,159,123.728428
-155.0,155,124.522084
-150.0,150,124.963164
-156.0,156,125.47557
-84.0,84,125.723584
-152.0,152,126.245205
-87.0,87,126.713852
-165.0,165,127.208102
-110.0,110,127.49704
-112.0,112,127.832443
-83.0,83,128.116386
-113.0,113,128.481864
-111.0,111,129.100108
-113.0,113,129.522637
-114.0,114,129.879393
-115.0,115,130.217176
-110.0,110,130.564441
-153.0,153,131.31101
-111.0,111,131.751786
-169.0,169,132.275284
-113.0,113,132.597321
-113.0,113,132.926319
-114.0,114,133.527208
-157.0,157,134.112033
-109.0,109,134.505311
-115.0,115,134.84833
-83.0,83,135.100597
-145.0,145,135.724843
-113.0,113,136.096045
-113.0,113,136.483522
-113.0,113,136.879397
-84.0,84,137.146493
-111.0,111,137.480108
-116.0,116,138.032379
-114.0,114,138.413192
-112.0,112,138.760364
-165.0,165,139.271657
-117.0,117,139.675083
-85.0,85,140.145842
-96.0,96,140.469104
-111.0,111,140.799226
-117.0,117,141.113474
-118.0,118,141.476264
-84.0,84,141.714712
-114.0,114,142.240062
-114.0,114,142.560845
-157.0,157,143.060756
-118.0,118,143.410753
-88.0,88,143.689602
-111.0,111,144.232144
-155.0,155,144.68586
-112.0,112,145.052419
-112.0,112,145.435377
-116.0,116,145.939271
-115.0,115,146.295339
-115.0,115,146.884854
-112.0,112,147.212092
-89.0,89,147.491775
-117.0,117,147.825585
-92.0,92,148.10424
-153.0,153,148.730079
-110.0,110,149.069321
-113.0,113,149.418054
-155.0,155,149.951932
-85.0,85,150.202447
-111.0,111,150.548102
-89.0,89,151.023602
-84.0,84,151.279578
-112.0,112,151.611739
-112.0,112,151.92551
-111.0,111,152.241172
-84.0,84,152.499574
-152.0,152,153.280762
-114.0,114,153.574867
-111.0,111,153.874099
-115.0,115,154.228471
-113.0,113,154.565428
-111.0,111,155.125411
-84.0,84,155.384726
-111.0,111,155.75781
-167.0,167,156.295032
-111.0,111,156.709748
-83.0,83,157.080752
-84.0,84,157.559235
-115.0,115,157.90575
-114.0,114,158.23682
-115.0,115,158.572322
-151.0,151,159.087245
-114.0,114,159.653477
-85.0,85,159.919269
-114.0,114,160.335744
-153.0,153,160.945983
-146.0,146,161.431816
-90.0,90,161.900195
-112.0,112,162.235562
-111.0,111,162.559155
-175.0,175,163.057138
-116.0,116,163.377787
-110.0,110,163.884834
-111.0,111,164.258678
-110.0,110,164.576568
-165.0,165,165.107864
-112.0,112,165.444693
-159.0,159,166.175195
-94.0,94,166.477084
-112.0,112,166.823877
