#{"t_start": 1738536910.0222993, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,3.116804
-164.0,164,3.607503
-200.0,200,4.229463
-200.0,200,5.075228
-159.0,159,5.548596
-132.0,132,5.928287
-164.0,164,6.493768
-117.0,117,7.108331
-152.0,152,7.572849
-154.0,154,8.062186
-121.0,121,8.405674
-154.0,154,9.08524
-150.0,150,9.522188
-88.0,88,9.758145
-152.0,152,10.218037
-153.0,153,10.679816
-156.0,156,11.40551
-157.0,157,11.877915
-155.0,155,12.314126
-156.0,156,12.762598
-161.0,161,13.501901
-88.0,88,13.772746
-88.0,88,14.017951
-111.0,111,14.405131
-171.0,171,15.010228
-158.0,158,15.683793
-161.0,161,16.136737
-151.0,151,16.548245
-162.0,162,16.987265
-89.0,89,17.454507
-153.0,153,17.919442
-150.0,150,18.307657
-153.0,153,18.725449
-150.0,150,19.428623
-121.0,121,19.780075
-99.0,99,20.127611
-153.0,153,20.66586
-178.0,178,21.214378
-88.0,88,21.717434
-154.0,154,22.152448
-154.0,154,22.648642
-169.0,169,23.170594
-154.0,154,23.861949
-159.0,159,24.367455
-86.0,86,24.675438
-98.0,98,25.010135
-95.0,95,25.377366
-157.0,157,26.064757
-148.0,148,26.533998
-150.0,150,26.974588
-150.0,150,27.390699
-86.0,86,27.653142
-166.0,166,28.312992
-154.0,154,28.789724
-107.0,107,29.165576
-150.0,150,29.660933
-88.0,88,29.886906
-161.0,161,30.631643
-88.0,88,30.918244
-150.0,150,31.378998
-91.0,91,31.675902
-146.0,146,32.127546
-148.0,148,32.922035
-154.0,154,33.419438
-160.0,160,33.897616
-149.0,149,34.397148
-151.0,151,35.239218
-151.0,151,35.741073
-145.0,145,36.25249
-153.0,153,36.701026
-160.0,160,37.460984
-84.0,84,37.705062
-149.0,149,38.137489
-155.0,155,38.624337
-147.0,147,39.296099
-145.0,145,39.737369
-112.0,112,40.127395
-152.0,152,40.678992
-146.0,146,41.170051
-141.0,141,41.892288
-151.0,151,42.3375
-110.0,110,42.670728
-111.0,111,42.989558
-149.0,149,43.469608
-151.0,151,44.212226
-155.0,155,44.684514
-152.0,152,45.208327
-142.0,142,45.654901
-144.0,144,46.374396
-115.0,115,46.731704
-111.0,111,47.069805
-143.0,143,47.500643
-110.0,110,47.834214
-171.0,171,48.657919
-164.0,164,49.252465
-151.0,151,49.78983
-109.0,109,50.151623
-152.0,152,50.910256
-85.0,85,51.260119
-160.0,160,51.802874
-111.0,111,52.160545
-114.0,114,52.522353
-149.0,149,53.269044
-111.0,111,53.634744
-114.0,114,53.98731
-152.0,152,54.505049
-144.0,144,54.945812
-144.0,144,55.660195
-152.0,152,56.194858
-148.0,148,56.692622
-164.0,164,57.272069
-112.0,112,58.177801
-148.0,148,58.853194
-148.0,148,59.595905
-160.0,160,60.43091
-110.0,110,60.982767
-110.0,110,61.959362
-160.0,160,62.741863
-159.0,159,63.476812
-111.0,111,63.98948
-113.0,113,64.955831
-110.0,110,65.571652
-113.0,113,66.16913
-112.0,112,66.677478
-173.0,173,67.53788
-112.0,112,68.533884
-110.0,110,69.026989
-151.0,151,69.775677
-108.0,108,70.340177
-172.0,172,71.171406
-112.0,112,71.984669
-113.0,113,72.516683
-111.0,111,73.014318
-83.0,83,73.424656
-115.0,115,74.009491
-113.0,113,74.658417
-110.0,110,75.784064
-149.0,149,76.561313
-114.0,114,77.20885
-113.0,113,77.721961
-115.0,115,78.257252
-148.0,148,79.39424
-111.0,111,79.96216
-168.0,168,80.743817
-115.0,115,81.292781
-153.0,153,82.358877
-161.0,161,83.030651
-112.0,112,83.540414
-84.0,84,83.916888
-115.0,115,84.451515
-154.0,154,85.618903
-111.0,111,86.197206
-116.0,116,86.715071
-112.0,112,87.179806
-113.0,113,87.627054
-110.0,110,88.098032
-157.0,157,89.171263
-115.0,115,89.764568
-83.0,83,90.171939
-115.0,115,90.770307
-111.0,111,91.321977
-115.0,115,92.259717
-115.0,115,92.728768
-114.0,114,93.229384
-155.0,155,94.017527
-86.0,86,94.427578
-115.0,115,95.03302
-116.0,116,95.93833
-118.0,118,96.533224
-110.0,110,97.016066
-111.0,111,97.465878
-111.0,111,97.906215
-176.0,176,99.050945
-113.0,113,99.599841
-114.0,114,100.198181
-84.0,84,100.609174
-170.0,170,101.53419
-149.0,149,102.460567
-144.0,144,103.112763
-148.0,148,103.830725
-149.0,149,104.591791
-85.0,85,105.072328
-164.0,164,106.285496
-84.0,84,106.68268
-112.0,112,107.18137
-146.0,146,107.790479
-169.0,169,108.630828
-84.0,84,108.844149
-114.0,114,109.142989
-148.0,148,109.645916
-85.0,85,109.894771
-84.0,84,110.172894
-112.0,112,110.886958
-114.0,114,111.344148
-117.0,117,111.745833
-113.0,113,112.090533
