#{"t_start": 1738536910.0249932, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,3.114351
-170.0,170,3.64066
-162.0,162,4.129528
-172.0,172,4.881376
-154.0,154,5.361363
-129.0,129,5.732801
-129.0,129,6.143046
-167.0,167,6.94392
-121.0,121,7.325032
-157.0,157,7.808665
-152.0,152,8.274208
-157.0,157,8.669357
-153.0,153,9.381211
-89.0,89,9.620819
-87.0,87,9.886899
-151.0,151,10.324687
-167.0,167,11.098191
-155.0,155,11.555146
-156.0,156,12.024903
-159.0,159,12.490807
-87.0,87,12.750825
-161.0,161,13.489028
-160.0,160,13.954445
-160.0,160,14.514722
-158.0,158,15.052722
-100.0,100,15.544751
-152.0,152,15.959162
-164.0,164,16.44709
-173.0,173,16.898699
-152.0,152,17.532411
-157.0,157,18.002119
-157.0,157,18.409842
-93.0,93,18.676813
-176.0,176,19.433066
-174.0,174,19.969666
-92.0,92,20.305614
-173.0,173,20.909725
-164.0,164,21.627065
-96.0,96,21.89386
-156.0,156,22.392839
-156.0,156,22.837186
-161.0,161,23.368221
-118.0,118,23.952056
-163.0,163,24.485367
-157.0,157,25.011369
-153.0,153,25.539479
-90.0,90,26.057597
-159.0,159,26.536921
-92.0,92,26.828339
-91.0,91,27.069889
-87.0,87,27.335964
-86.0,86,27.566581
-174.0,174,28.264831
-150.0,150,28.7305
-154.0,154,29.273022
-157.0,157,29.748549
-165.0,165,30.474772
-151.0,151,30.96331
-90.0,90,31.229454
-157.0,157,31.72396
-156.0,156,32.512629
-86.0,86,32.804682
-89.0,89,33.109768
-150.0,150,33.569064
-164.0,164,34.046256
-169.0,169,34.970303
-162.0,162,35.503457
-84.0,84,35.791111
-144.0,144,36.298798
-146.0,146,36.741406
-155.0,155,37.46537
-162.0,162,37.93979
-150.0,150,38.430094
-167.0,167,38.891679
-145.0,145,39.585713
-167.0,167,40.171001
-147.0,147,40.677557
-145.0,145,41.167513
-169.0,169,41.95088
-86.0,86,42.230485
-152.0,152,42.672833
-111.0,111,42.991817
-112.0,112,43.373171
-145.0,145,44.064842
-141.0,141,44.52773
-146.0,146,45.003133
-163.0,163,45.513961
-109.0,109,46.112854
-153.0,153,46.630477
-159.0,159,47.113159
-142.0,142,47.54154
-144.0,144,47.976112
-149.0,149,48.751772
-142.0,142,49.252759
-151.0,151,49.790135
-166.0,166,50.365645
-164.0,164,51.198435
-111.0,111,51.587288
-143.0,143,52.06252
-151.0,151,52.526051
-160.0,160,53.328465
-151.0,151,53.812906
-145.0,145,54.3031
-149.0,149,54.758558
-141.0,141,55.467015
-141.0,141,55.923517
-111.0,111,56.364712
-111.0,111,56.729795
-113.0,113,57.099932
-145.0,145,58.101378
-143.0,143,58.766191
-157.0,157,59.521583
-112.0,112,60.116206
-112.0,112,60.675623
-112.0,112,61.57732
-162.0,162,62.507972
-110.0,110,62.971167
-108.0,108,63.4814
-114.0,114,63.998978
-110.0,110,64.962615
-112.0,112,65.580952
-110.0,110,66.172967
-166.0,166,66.916104
-113.0,113,67.481577
-111.0,111,68.453837
-110.0,110,69.019821
-114.0,114,69.554769
-152.0,152,70.34381
-110.0,110,70.932253
-170.0,170,71.982205
-115.0,115,72.566337
-114.0,114,73.06647
-114.0,114,73.583781
-113.0,113,74.19524
-166.0,166,75.628553
-84.0,84,76.11115
-110.0,110,76.652277
-113.0,113,77.287195
-157.0,157,78.036051
-167.0,167,79.237725
-111.0,111,79.802336
-114.0,114,80.348462
-83.0,83,80.738248
-115.0,115,81.287349
-113.0,113,81.842465
-88.0,88,82.557537
-84.0,84,82.88325
-115.0,115,83.398218
-149.0,149,84.072679
-110.0,110,84.606608
-84.0,84,85.066892
-83.0,83,85.88041
-114.0,114,86.420506
-114.0,114,86.910595
-116.0,116,87.371385
-85.0,85,87.736479
-113.0,113,88.229594
-116.0,116,89.086614
-157.0,157,89.911789
-115.0,115,90.474461
-113.0,113,91.073268
-113.0,113,91.625919
-117.0,117,92.473355
-111.0,111,92.934628
-113.0,113,93.465686
-115.0,115,94.093503
-114.0,114,94.666385
-112.0,112,95.610574
-112.0,112,96.146759
-114.0,114,96.677832
-113.0,113,97.150087
-112.0,112,97.5956
-114.0,114,98.048587
-85.0,85,98.752397
-111.0,111,99.301856
-151.0,151,100.11443
-151.0,151,100.897316
-151.0,151,101.684864
-145.0,145,102.614055
-83.0,83,102.954006
-161.0,161,103.742848
-170.0,170,104.589312
-151.0,151,105.803643
-84.0,84,106.208258
-170.0,170,107.023898
-110.0,110,107.491715
-114.0,114,108.000767
-86.0,86,108.488153
-113.0,113,108.80041
-113.0,113,109.096338
-158.0,158,109.595023
-111.0,111,109.944117
-166.0,166,110.8374
-111.0,111,111.275298
-161.0,161,111.808425
-111.0,111,112.143898
-115.0,115,112.500776
-92.0,92,113.023599
-111.0,111,113.346861
-117.0,117,113.703473
-113.0,113,114.028034
-119.0,119,114.36507
-90.0,90,114.65002
-112.0,112,115.308332
-152.0,152,115.859465
-114.0,114,116.266789
-113.0,113,116.614713
-114.0,114,117.016782
-115.0,115,117.557768
-90.0,90,117.790478
-172.0,172,118.280929
-88.0,88,118.577068
-112.0,112,119.021077
-111.0,111,119.37589
-84.0,84,119.852473
-112.0,112,120.464203
-163.0,163,121.143499
-115.0,115,121.545033
-117.0,117,121.936573
-113.0,113,122.486189
-114.0,114,122.787908
-87.0,87,123.045072
-110.0,110,123.394592
-85.0,85,123.634053
-110.0,110,123.979399
-164.0,164,124.768394
-161.0,161,125.279145
-154.0,154,125.765647
-112.0,112,126.134788
-150.0,150,126.805134
-112.0,112,127.124433
-84.0,84,127.391831
-111.0,111,127.717508
-85.0,85,127.958523
-112.0,112,128.31167
-113.0,113,128.927904
-155.0,155,129.51923
-88.0,88,129.781511
-150.0,150,130.258963
-160.0,160,130.753323
-170.0,170,131.615186
-154.0,154,132.136117
-112.0,112,132.46177
-110.0,110,132.786598
-164.0,164,133.520034
-155.0,155,134.101941
-146.0,146,134.596821
-113.0,113,134.942364
-156.0,156,135.425424
-115.0,115,135.978001
-113.0,113,136.349251
-110.0,110,136.744348
-115.0,115,137.100434
-114.0,114,137.43247
-114.0,114,137.975073
-111.0,111,138.355468
-113.0,113,138.712443
-115.0,115,139.060138
-112.0,112,139.410368
-118.0,118,139.80792
-114.0,114,140.413914
-115.0,115,140.748691
-111.0,111,141.062885
-112.0,112,141.390768
-113.0,113,141.714001
-84.0,84,142.148912
-84.0,84,142.413868
-91.0,91,142.649078
-155.0,155,143.171144
-113.0,113,143.49471
-118.0,118,143.844136
-157.0,157,144.526181
-92.0,92,144.815221
-84.0,84,145.119797
-111.0,111,145.512421
-114.0,114,145.945087
-112.0,112,146.498351
-115.0,115,146.886753
-87.0,87,147.158659
-112.0,112,147.492358
-85.0,85,147.732557
-114.0,114,148.062148
-111.0,111,148.584008
-83.0,83,148.825823
-86.0,86,149.111622
-92.0,92,149.405165
-110.0,110,149.742161
-150.0,150,150.240218
-92.0,92,150.536108
-151.0,151,151.164664
-84.0,84,151.426985
-113.0,113,151.746253
-152.0,152,152.19434
-85.0,85,152.443693
-112.0,112,153.079006
-157.0,157,153.532714
-147.0,147,153.936441
-116.0,116,154.279042
-110.0,110,154.613553
-111.0,111,155.174671
-155.0,155,155.702512
-113.0,113,156.048161
-118.0,118,156.457307
-115.0,115,156.895291
-112.0,112,157.517645
-110.0,110,157.856824
-85.0,85,158.131036
-111.0,111,158.463421
-111.0,111,158.818542
-116.0,116,159.177078
-84.0,84,159.652029
-160.0,160,160.20747
-110.0,110,160.651572
-110.0,110,161.06171
-113.0,113,161.425282
-156.0,156,162.084847
-111.0,111,162.417649
-111.0,111,162.704539
-112.0,112,163.022265
-115.0,115,163.372459
-114.0,114,163.883177
-111.0,111,164.257329
-113.0,113,164.610961
-114.0,114,164.946438
-151.0,151,165.400773
-115.0,115,165.81316
-113.0,113,166.363929
-112.0,112,166.720675
-114.0,114,167.058488
-111.0,111,167.37922
-111.0,111,167.700537
-114.0,114,168.250902
-88.0,88,168.503242
-161.0,161,169.057181
-161.0,161,169.642275
-114.0,114,169.982929
-114.0,114,170.551018
-112.0,112,170.887399
-110.0,110,171.182809
-89.0,89,171.461205
-115.0,115,171.810459
-113.0,113,172.158328
-113.0,113,172.731015
-155.0,155,173.195163
-114.0,114,173.517557
-114.0,114,173.84266
-112.0,112,174.171447
-84.0,84,174.663408
-113.0,113,175.06515
-156.0,156,175.594704
-113.0,113,175.97671
-112.0,112,176.350868
-160.0,160,177.061969
-111.0,111,177.393218
-113.0,113,177.701292
-153.0,153,178.109258
-150.0,150,178.496387
-110.0,110,179.042915
-153.0,153,179.574099
-110.0,110,179.948129
-111.0,111,180.333122
-111.0,111,180.729501
-109.0,109,181.2675
-152.0,152,181.728356
-111.0,111,182.023936
-107.0,107,182.298752
-112.0,112,182.609325
-109.0,109,183.131865
-151.0,151,183.621203
-155.0,155,184.075844
-109.0,109,184.409842
-109.0,109,184.772797
-153.0,153,185.475311
-111.0,111,185.800169
-112.0,112,186.132376
-111.0,111,186.471662
-112.0,112,186.811653
-147.0,147,187.530552
-110.0,110,187.878569
-113.0,113,188.240928
-113.0,113,188.596001
-114.0,114,188.93484
-87.0,87,189.204537
-113.0,113,189.79312
-115.0,115,190.171734
-110.0,110,190.551116
-112.0,112,190.893009
-84.0,84,191.17387
-114.0,114,191.522049
-89.0,89,191.948065
-115.0,115,192.261852
-112.0,112,192.582479
-114.0,114,192.934648
-116.0,116,193.259495
-116.0,116,193.771126
-116.0,116,194.147824
-87.0,87,194.449338
-111.0,111,194.806773
-157.0,157,195.364268
-115.0,115,195.803558
-164.0,164,196.628736
-92.0,92,196.943148
-114.0,114,197.274925
-113.0,113,197.588358
-91.0,91,197.848941
-112.0,112,198.344013
-111.0,111,198.650823
-159.0,159,199.064921
-111.0,111,199.392039
-116.0,116,199.780632
-91.0,91,200.050912
-115.0,115,200.641223
-86.0,86,200.900129
-84.0,84,201.156035
-113.0,113,201.550433
-113.0,113,201.882209
-90.0,90,202.163631
-116.0,116,202.656505
-85.0,85,202.879467
-111.0,111,203.184902
-112.0,112,203.495463
-113.0,113,203.801807
-89.0,89,204.066031
-112.0,112,204.614624
-111.0,111,204.935399
-84.0,84,205.170064
-84.0,84,205.407721
-110.0,110,205.729928
-171.0,171,206.435446
-163.0,163,206.876083
-115.0,115,207.182535
